Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Priority Data,Title,Abstract,Related Patent Documents,Grant Number,Grant Date,Agents,Designated States
CN428115147,202410218614,China,28.02.2024,117887901,16.04.2024,A,"C12Q 1/70
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/93
					








C12Q 1/70
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/93
					






View less classifications","C12Q 1/707
					






C12Q 1/6844
					






Y02A 50/30
					








C12Q 1/707
					






C12Q 1/6844
					






Y02A 50/30
					






View less classifications","SHANGHAI NORMAL UNIVERSITY上海师范大学SHANGHAI TOLO BIOTECHNOLOGY CO., LTD.上海吐露港生物科技有限公司SHANGHAI CUSTOMS ANIMAL, PLANT AND FOOD INSPECTION AND QUARANTINE TECHNOLOGY CENTER上海海关动植物与食品检验检疫技术中心",ZHAO YU赵渝LI QIANQIAN李倩倩WANG JIN王金GUO DEHUA郭德华XUE JUNXIN薛俊欣YANG JIELIN杨捷琳,,(EN) One-tube method for detecting food-borne hepatitis A virus by combining CRISPR/Cas12a and RT-LAMP(ZH) 结合CRISPR/Cas12a和RT-LAMP的用于检测食源性甲肝病毒的一管式方法,"(EN) The invention relates to a one-tube method for detecting food-borne hepatitis A virus by combining CRISPR/Cas12a and RT-LAMP, which comprises the following specific steps: S1, configuring an RT-LAMP reaction system in a reaction tube, adding a sample to be detected into the reaction tube, additionally arranging an oil seal in the reaction tube, and configuring a CRISPR/Cas12a system comprising an ssDNA fluorescent probe with an FAM fluorophore on a tube cover of the reaction tube; s2, performing isothermal amplification on the tube bottom of the reaction tube to obtain an amplified gene segment; s3, mixing the RT-LAMP reaction system of which the tube bottom amplification is finished with the CRISPR/Cas12a system of the tube cover; and S4, collecting the intensity of the fluorescence signal in the mixed reaction tube, when the intensity of the fluorescence signal in the reaction tube is increased, determining that the to-be-detected sample contains the hepatitis A virus, and when the intensity of the fluorescence signal in the reaction tube is unchanged, determining that the to-be-detected sample does not contain the hepatitis A virus.(ZH) 本发明涉及一种结合CRISPR/Cas12a和RT‑LAMP的用于检测食源性甲肝病毒的一管式方法，具体步骤如下：S1、于反应管管内配置RT‑LAMP反应体系，将待测样本加入反应管管内，并于反应管内加装油封，于反应管管盖配置CRISPR/Cas12a体系，包括带有FAM荧光基团的ssDNA荧光探针；S2、反应管管底进行恒温扩增，得到扩增后的基因片段；S3、将管底扩增结束的RT‑LAMP反应体系与管盖的CRISPR/Cas12a体系混合；S4、采集混合后的反应管内的荧光信号强度，当反应管内荧光信号强度增加时，待测样本内含有甲肝病毒，当反应管内荧光信号强度未变时，待测样本内不含有甲肝病毒。",,,,上海科盛知识产权代理有限公司 31225,
CN425359198,202311645972,China,04.12.2023,117625682,01.03.2024,A,"C12N 15/84
					






C12N 15/113
					






C12N 15/40
					






A01H 5/00
					






A01H 6/82
					








C12N 15/84
					






C12N 15/113
					






C12N 15/40
					






A01H 5/00
					






A01H 6/82
					






View less classifications","C12N 15/8283
					






C12N 15/8205
					






C12N 15/1131
					






C07K 14/005
					






C12N 2310/20
					








C12N 15/8283
					






C12N 15/8205
					






C12N 15/1131
					






C07K 14/005
					






C12N 2310/20
					






View less classifications",WEST (CHONGQING) SCIENCE CITY GERMPLASM CREATION AND SYSTEM BIG SCIENCE CENTER西部（重庆）科学城种质创制大科学中心SOUTHWEST UNIVERSITY西南大学,LYU DIANQIU吕典秋JU XISAN琚熙三ZHANG HANYUE张瀚月ZHOU YONGHONG周永洪,,(EN) Method for improving potato PSTVd resistance based on CRISPR-RfxCas13d system and product and application thereof(ZH) 基于CRISPR-RfxCas13d系统提高马铃薯PSTVd抗性的方法及其产品和应用,"(EN) The invention discloses a method for improving potato PSTVd resistance based on a CRISPR-RfxCas13d system as well as a product and application thereof, and belongs to the technical field of plant biology.A crRNA sequence targeting a PSTVd sequence shown in SEQ ID No.2 or SEQ ID No.5 or targeting a PSTVd sequence shown in SEQ ID No.6-9 at the same time is designed, then a CRISPR-RfxCas13d editing system carrier is constructed, the CRISPR-RfxCas13d editing system can directionally shear RNA of potato spindle tuber viroid PSTVd under mediation of crRNA, and the CRISPR-RfxCas13d editing system can be used for improving the PSTVd resistance of potatoes. The accumulation amount of PSTVd mature bodies and vd-sRNA in the potatoes is reduced, so that the pathogenicity of the PSTVd is reduced, the symptoms of the potatoes caused by the PSTVd are relieved, and the PSTVd resistance of the potatoes is improved.(ZH) 本发明公开了一种基于CRISPR‑RfxCas13d系统提高马铃薯PSTVd抗性的方法及其产品和应用，属于植物生物技术领域，本发明设计了靶向SEQ ID No.2或SEQ ID No.5或同时靶向SEQ ID No.6～9所示的PSTVd序列的crRNA序列，然后构建CRISPR‑RfxCas13d编辑系统载体，CRISPR‑RfxCas13d编辑系统在crRNA介导下可以定向剪切马铃薯纺锤块茎类病毒PSTVd的RNA，降低了马铃薯内PSTVd成熟体和vd‑sRNA的积累量，从而降低了PSTVd的致病力，减轻了马铃薯由于PSTVd产生的病征，提高了马铃薯PSTVd抗性。",,,,重庆航图知识产权代理事务所(普通合伙) 50247,
CN418694201,202210662170,China,13.06.2022,117264947,22.12.2023,A,"C12N 15/113
					






C12N 9/22
					






C12N 15/66
					






C12N 15/29
					






C12N 15/82
					






C12N 15/84
					






View more classifications
							






C12N 15/113
					






C12N 9/22
					






C12N 15/66
					






C12N 15/29
					






C12N 15/82
					






C12N 15/84
					






A01H 5/00
					






A01H 6/74
					






View less classifications","C12N 15/113
					






C12N 9/22
					






C12N 15/66
					






C07K 14/415
					






C12N 15/8218
					






C12N 15/8205
					






View more classifications
							






C12N 15/113
					






C12N 9/22
					






C12N 15/66
					






C07K 14/415
					






C12N 15/8218
					






C12N 15/8205
					






C12N 15/8255
					






C12N 15/825
					






C12N 2310/20
					






C12N 2800/22
					






View less classifications",NANJING AGRICULTURAL UNIVERSITY南京农业大学,WU JUN吴俊MING MEILING明美玲LONG HONGJUN龙虹郡YE ZHICHENG叶志成CHEN JIALI陈佳丽TIAN RONG田荣SUN CONGRUI孙聪睿XUE YONGSONG薛雍松LI JIAMING李甲明ZHAO KEJIAO赵渴娇,,(EN) Pear CRISPR/Cas9 gene editing system and application thereof(ZH) 一种梨CRISPR/Cas9基因编辑系统及其应用,"(EN) The invention discloses a pear CRISPR/Cas9 gene editing system and application thereof, and belongs to the technical field of plant genetic engineering. Comprising the following steps: selecting target genes; sgRNA (small guide Ribonucleic Acid) is designed; construction of a CRISPR/Cas9 gene editing carrier is carried out; genetic transformation of pear calluses; identifying and counting the editing efficiency of the CRISPR/Cas9 gene in the callus; and observing and analyzing the phenotype of the callus subjected to gene directional editing. According to the method, firstly, the editing efficiency of four different CRISPR/Cas9 expression systems in pear calluses is compared, so that a system with the editing efficiency up to 100% is screened out to carry out directional editing and functional verification on anthocyanin and lignin biosynthesis related genes in pears; and a more efficient, simple and convenient way is provided for gene function research and molecular genetic breeding in pears.(ZH) 本发明公开了一种梨CRISPR/Cas9基因编辑系统及其应用，属于植物基因工程技术领域。包括靶基因的选择；sgRNA的设计；CRISPR/Cas9基因编辑载体的构建；梨愈伤组织的遗传转化；愈伤组织中CRISPR/Cas9基因编辑效率的鉴定与统计；基因定向编辑的愈伤组织表型观察与分析。本发明首先比较了四种不同的CRISPR/Cas9表达系统在梨愈伤组织中的编辑效率，从而筛选出编辑效率高达100％的一个系统对梨中花青苷和木质素生物合成相关基因进行定向编辑和功能验证，为梨中基因功能研究和分子遗传育种提供了更高效简便的途径。",,,,南京天华专利代理有限责任公司 32218南京天华专利代理有限责任公司 32218,
,,,,,,,,,,,,,,,,,,
CN346614684,202111068942,China,13.09.2021,113817768,21.12.2021,A,"C12N 15/84
					






C12N 15/29
					






C12N 15/65
					






A01H 5/00
					






A01H 6/82
					








C12N 15/84
					






C12N 15/29
					






C12N 15/65
					






A01H 5/00
					






A01H 6/82
					






View less classifications","C12N 15/8289
					






C12N 15/8218
					






C12N 15/8212
					






C12N 15/8205
					






C12N 15/65
					






C07K 14/415
					








C12N 15/8289
					






C12N 15/8218
					






C12N 15/8212
					






C12N 15/8205
					






C12N 15/65
					






C07K 14/415
					






View less classifications",HUNAN HYBRID RICE RESEARCH CENTER湖南杂交水稻研究中心,SONG SHUFENG宋书锋LI LI李莉ZHANG LONGHUI张龙辉QIU MUDAN邱牡丹LI YIXING李懿星WANG TIANKANG王天抗DONG HAO董皓LI LEI李磊,,"(EN) Method for improving thermo-sensitive sterile rice line, application and recombinant vector(ZH) 改良水稻温敏不育系的方法及应用和重组载体","(EN) The invention discloses a method for improving a thermo-sensitive sterile rice line. The method comprises the following steps of obtaining a completely sterile rice plant with homozygous mutation of a fertility regulation gene by combining with a CRISPR/Cas9 method; constructing a wild type fertility regulation gene, an exogenous reporter gene, a pollen lethal gene and a thermo-sensitive sterile restorer gene into an expression vector to obtain a quaternary complementary vector; transforming the quaternary complementary vector into the completely sterile rice plant to obtain a transgenic complementary plant with restored fertility; and carrying out selfing on the transgenic complementary plant to obtain seeds, taking the seeds showing the exogenous reporter gene characters as reproductive line seeds, and taking the seeds not showing the characters as sterile line seeds. The invention discloses an application of the improved thermo-sensitive sterile rice line in rice hybrid seed production. The invention also discloses a recombinant vector. According to the invention, the problem that the fertility of two sterile lines is influenced by the environment and rice lodging is caused can be fundamentally solved, and the transition from two-line hybrid rice to third-generation hybrid rice is realized.(ZH) 本发明公开了改良水稻温敏不育系的方法，包括：结合CRISPR/Cas9方法，获取到育性调控基因纯合突变的完全不育水稻植株；将野生型育性调控基因、外源报告基因、花粉致死基因和温敏不育恢复基因构建入一个表达载体中，得到四元互补载体；将四元互补载体转化入完全不育水稻植株中，得到育性恢复的转基因互补植株；转基因互补植株自交获取种子，表现外源报告基因性状的种子作为繁殖系种子，未表现出性状的种子作为不育系种子。本发明公开了改良的水稻温敏不育系在水稻杂交制种中的应用。本发明还公开了重组载体。本发明可从根本上解决两系不育系育性受环境影响而打摆子的问题，实现两系杂交水稻到第三代杂交水稻的过渡。",,,,北京汇智胜知识产权代理事务所(普通合伙) 11346,
CN429513314,202410178459,China,09.02.2024,118028363,14.05.2024,A,"C12N 15/84
					






C12N 15/29
					






A01H 5/00
					






A01H 5/04
					






A01H 6/00
					








C12N 15/84
					






C12N 15/29
					






A01H 5/00
					






A01H 5/04
					






A01H 6/00
					






View less classifications","C12N 15/8261
					






C07K 14/415
					






Y02A 40/146
					








C12N 15/8261
					






C07K 14/415
					






Y02A 40/146
					






View less classifications",WEST (CHONGQING) SCIENCE CITY GERMPLASM CREATION AND SYSTEM BIG SCIENCE CENTER西部（重庆）科学城种质创制大科学中心SOUTHWEST UNIVERSITY西南大学,WEI HONGBIN魏洪彬CHENG HONGLI程泓莉WU FEI'ER吴菲儿LU JUN卢君XU JINYI徐锦怡LUO KEMING罗克明,,(EN) Application of PtoPIF3.2 gene of populus tomentosa in promoting plant growth and xylem development(ZH) 毛白杨PtoPIF3.2基因在促进植株生长和木质部发育中的应用,"(EN) The invention discloses application of a populus tomentosa PtoPIF3.2 gene in promoting plant growth and xylem development. The nucleotide sequence of the PtoPIF3.2 gene is shown as SEQ ID No.2. Compared with a wild type, transgenic populus tomentosa with over-expression of PtoPIF3.2 has the advantages that the plant height and stem diameter are increased, and the xylem is obviously increased; ptoPIF3.2 or a homologous gene PtoPIF3.1 of the PtoPIF3.2 is knocked out through CRISPR/Cas9, and compared with a wild type, the mutant poplar has the advantages that the plant height is reduced, the stem diameter is reduced, and the xylem is also remarkably reduced. The result shows that the PtoPIF3.1 and the PtoPIF3.2 are important positive regulatory factors for promoting the growth of the poplar and the development of the xylem. The invention provides a new gene source for regulating and controlling tree height and wood development, and has important application value in the field of forest tree gene engineering.(ZH) 本发明公开了毛白杨PtoPIF3.2基因在促进植株生长和木质部发育中的应用，PtoPIF3.2基因的核酸序列如SEQ ID No.2所示，过量表达PtoPIF3.2的转基因毛白杨与野生型比较，株高和茎粗增加，木质部显著增加；通过CRISPR/Cas9敲除PtoPIF3.2或其同源基因PtoPIF3.1，突变体杨树与野生型比较，株高降低，茎粗减少，木质部也显著减少。上述结果说明PtoPIF3.1和PtoPIF3.2是促进杨树生长及木质部发育的重要正调节因子。本发明为调控树木株高和木材发育提供了新的基因源，在林木基因工程领域有重要应用价值。",,,,重庆航图知识产权代理事务所(普通合伙) 50247,
CN438248373,202410643856,China,23.05.2024,118531048,23.08.2024,A,"C12N 15/82
					






C12N 15/54
					






A01H 6/54
					






A01H 5/00
					








C12N 15/82
					






C12N 15/54
					






A01H 6/54
					






A01H 5/00
					






View less classifications","C12N 15/8261
					






C12N 15/8218
					






C12N 9/1007
					






C12Y 201/01037
					






Y02A 40/146
					








C12N 15/8261
					






C12N 15/8218
					






C12N 9/1007
					






C12Y 201/01037
					






Y02A 40/146
					






View less classifications",NORTHEAST AGRICULTURAL UNIVERSITY东北农业大学,YANG MINGLIANG杨明亮WANG JINHUI王锦辉XIN DAWEI辛大伟XU CHANG徐畅CHEN QINGSHAN陈庆山LIU CHUNYAN刘春燕WANG YUE王悦MA SHENGNAN马胜男MA CHAO马超,,(EN) Application of knockout soybean GmDMEb gene in increasing soybean plant branch number and increasing soybean yield(ZH) 敲除大豆GmDMEb基因在增加大豆植株分枝数及提高大豆产量中的应用,"(EN) The invention discloses application of a knockout soybean GmDMEb gene in increasing the number of soybean plant branches and increasing the soybean yield, and belongs to the technical field of gene engineering. In order to excavate a gene capable of regulating and controlling the branching number of a soybean plant, construct an ideal soybean plant type and increase the yield of the soybean, a soybean GmDMEb gene knockout vector is constructed by utilizing a CRISPR-Cas9 system, the vector is utilized to convert agrobacterium and infect the soybean to obtain a transgenic soybean with the GmDMEb gene knockout, and the GmDMEb gene knockout can increase the branching number of the soybean plant and improve the yield of the soybean. And the soybean yield can be improved. The invention provides a theoretical basis for creating dominant soybeans and breeding high-yield soybean varieties, and has important theoretical significance and application value.(ZH) 敲除大豆GmDMEb基因在增加大豆植株分枝数及提高大豆产量中的应用，属于基因工程技术领域。为了挖掘能够调控大豆植株分枝数的基因，构建大豆理想株型、提高大豆产量，本发明利用CRISPR‑Cas9系统构建了大豆GmDMEb基因敲除载体，利用该载体转化农杆菌，然后侵染大豆获得了GmDMEb基因敲除的转基因大豆，证实了敲除GmDMEb基因能够增加大豆植株分枝数，并且能够提高大豆产量。本发明为创制优势大豆和大豆高产品种选育提供理论依据，具有重要理论意义和应用价值。",,,,哈尔滨市阳光惠远知识产权代理有限公司 23211,
,,,,,,,,,,,,,,,,,,
CN425953501,202311665548,China,06.12.2023,117660520,08.03.2024,A,"C12N 15/82
					






C12N 15/113
					






C12N 15/29
					






A01H 5/00
					






A01H 5/02
					






A01H 6/20
					








C12N 15/82
					






C12N 15/113
					






C12N 15/29
					






A01H 5/00
					






A01H 5/02
					






A01H 6/20
					






View less classifications","C12N 15/8261
					






C12N 15/827
					






C12N 15/8216
					






C12N 15/113
					






C07K 14/415
					






C12N 2310/20
					








C12N 15/8261
					






C12N 15/827
					






C12N 15/8216
					






C12N 15/113
					






C07K 14/415
					






C12N 2310/20
					






View less classifications",HUAZHONG AGRICULTURAL UNIVERSITY华中农业大学,GUO LIANG郭亮PENG YAN彭妍DAI CHENG戴成LIU RUIFAN刘瑞帆,,(EN) Application of BnaSPL14 gene in cultivation of multi-branch high-yield transgenic plant(ZH) BnaSPL14基因在培育多分枝高产转基因植物中的应用,"(EN) The invention relates to an application of a BnaSPL14 gene in cultivation of a multi-branch high-yield transgenic plant, which specifically comprises the following steps: editing the BnaSPL14 gene of brassica napus by using a CRISPR/Cas9 system to obtain a high-yield rape germplasm resource with advanced flowering phase, increased one-time branch number and obviously increased single plant yield. It is proved that the BnaSPL14 can regulate and control the number of branches at a time, the basic agronomic traits of the plant height are not obviously changed, however, the flowering phase is advanced by 4-6 days, the number of branches is increased by 6-10, and the yield of a single plant is obviously increased compared with that of an acceptor material. The yield of a single plant of a selfed progeny is still obviously higher than that of an unedited acceptor material, the number of branches is increased, the basic agronomic character is excellent, a new germplasm resource is provided for high-yield breeding of the brassica napus, and meanwhile, the method has a wide application prospect in molecular design breeding of the brassica napus.(ZH) 本发明涉及BnaSPL14基因在培育多分枝高产转基因植物中的应用，具体包括利用CRISPR/Cas9系统对甘蓝型油菜BnaSPL14基因进行编辑，获得花期提前、一次分枝数增加、单株产量显著增加的高产油菜种质资源。证明BnaSPL14能够调控一次分枝数目，其株高等基本农艺性状无明显改变，但花期提前4‑6天，分枝数增加6‑10个，单株产量相比受体材料显著增加。其自交后代单株产量仍显著高于未编辑的受体材料且分枝数增加，基本农艺性状优良，为甘蓝型油菜高产育种提供了新的种质资源，同时在油菜分子设计育种中具有广阔的应用前景。",,,,武汉集源知识产权代理事务所(普通合伙) 42316,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CN321339794,202011538862,China,23.12.2020,112538496,23.03.2021,A,"C12N 15/80
					






C12N 15/113
					






C12N 1/15
					






C12R 1/645
					








C12N 15/80
					






C12N 15/113
					






C12N 1/15
					






C12R 1/645
					






View less classifications","C12N 15/80
					






C12N 15/1137
					






C12N 9/00
					






C12N 2310/20
					








C12N 15/80
					






C12N 15/1137
					






C12N 9/00
					






C12N 2310/20
					






View less classifications",GUANGDONG INSTITUTE OF MICROBIOLOGY (GUANGDONG DETECTION CENTER OF MICROBIOLOGY )广东省微生物研究所（广东省微生物分析检测中心）,YE WEI叶伟ZHANG WEIMIN章卫民ZHU MUZI朱牧孜CEN YOUFEI岑由飞LI SAINI李赛妮LIU HONGXIN刘洪新LI HAOHUA李浩华,,(EN) CRISPR/Cas9 vector suitable for myrothecium roridum A553 as well as construction method and application of CRISPR/Cas9 vector(ZH) 一种适用于露湿漆斑菌A553的CRISPR/Cas9载体及其构建方法和应用,"(EN) The invention discloses a CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats)/Cas9 vector suitable for myrothecium roridum A553 as well as a construction method and application of the CRISPR/Cas9 vector. The CRISPR/Cas9 vector suitable for the plant endophytic fungus myrothecium roridum A553 is constructed, the key biosynthetic gene Tri18 of the novel trichothecene is knocked out, the function of the target gene is further verified through metabolite contrastive analysis, a molecular biological foundation is laid for later analysis of trichothecenes biomachine synthesis in the myrothecium roridum A553, and the development and utilization of the trichothecenes compounds in the aspect of lead compounds of antitumor drugs are promoted.(ZH) 本发明公开了一种适用于露湿漆斑菌A553的CRISPR/Cas9载体及其构建方法和应用。本发明构建了适用于植物内生真菌露湿漆斑菌A553的CRISPR/Cas9载体，并对新型单端孢霉烯的关键生物合成基因Tri18进行敲除，并通过代谢产物对比分析进一步验证目的基因的功能，为后期解析露湿漆斑菌A553中单端孢霉烯trichothecenes生物机合成制奠定分子生物学基础，促进trichothecenes类化合物在抗肿瘤药物先导化合物方面的开发利用。",,,,广州科粤专利商标代理有限公司 44001广州科粤专利商标代理有限公司 44001,
CN428735721,202311784843,China,24.12.2023,117925448,26.04.2024,A,"C12N 1/20
					






C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/01
					








C12N 1/20
					






C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/01
					






View less classifications","C12N 1/205
					






C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/01
					








C12N 1/205
					






C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/01
					






View less classifications","HUBEI BIOPESTICIDE ENGINEERING RESEARCH CENTER湖北省生物农药工程研究中心INSTITUTE OF PLANT PROTECTION, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院植物保护研究所",HU HONGTAO胡洪涛XU JINGXIA许婧霞GONG YAN龚艳WANG QI王麒WANG QIUXIA王秋霞ZHANG XINGZHONG张兴中LI KUI李奎YAN DONGDONG颜冬冬YI JUPING易菊平,,"(EN) Low-temperature specific ralstonia solanacearum, specific fragment and application(ZH) 低温特异性生姜青枯菌、特异性片段及应用","(EN) The invention belongs to the technical field of agricultural microbiology, and discloses low-temperature specific ralstonia solanacearum, a specific fragment and application. The bacterial strain is obtained by identifying Laifeng ginger, and has intraspecific specificity and genome difference with the bacterial strain of ralstonia solanacearum reported at present. The invention further provides an RPA (recombinase polymerase amplification) amplification system and a CRISPR/Cas12a (clustered regularly interspaced short palindromic repeats/CRISPR associated 12a) detection system for rapidly detecting the strain. According to the method, an RPA (recombinase polymerase amplification) technology and a CRISPR/Cas12a (clustered regularly interspaced short palindromic repeats/CRISPR/Cas12a) system are combined for use to develop a novel RPA-CRISPR/Cas12a molecular diagnosis mode, a target fragment is amplified at the constant temperature of 39 DEG C, a detection site is designed aiming at the ralstonia solanacearum, and a detection result is presented in a test strip mode. According to the method, the disease is rapidly and effectively detected on a base layer through simple experimental equipment and operation, rapid distinguishing between susceptible ginger and healthy ginger is achieved, and the loss of the ginger industry is reduced.(ZH) 本发属于农业微生物学技术领域，公开了低温特异性生姜青枯菌、特异性片段及应用。该菌株为来凤生姜鉴定所得，与现有报道的青枯菌的菌株存在种内特异性和基因组差异。本发明进一步提供过了用于对该菌株快速检测的RPA扩增体系和CRISPR/Cas12a检测体系。该方法将RPA技术与CRISPR/Cas12a系统联合使用开发RPA‑CRISPR/Cas12a新型分子诊断方式，通过39℃恒温扩增目的片段，针对该青枯菌设计检测位点，将检测结果通过试纸条的方式呈现。该方法通过简单的实验器材和操作实现在基层快速、有效的对该病均进行检测，实现感病和健康生姜的快速区分，减少生姜产业的损失。",,,,武汉宇晨专利事务所(普通合伙) 42001,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CN438250681,202410697791,China,31.05.2024,118531053,23.08.2024,A,"C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8261
					






C12N 15/8218
					






C07K 14/415
					






Y02A 40/146
					








C12N 15/8261
					






C12N 15/8218
					






C07K 14/415
					






Y02A 40/146
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,ZHU ZUOFENG朱作峰HE WEI何苇CHANG LEQIN常乐钦WU WENGUANG吴问广NING JING宁静SUN CHUANQING孙传清,,"(EN) Application of OsCCT22 and coding gene thereof in regulation and control of heading period, plant height and yield of rice(ZH) OsCCT22及其编码基因在调控水稻的抽穗期、株高与产量中的应用","(EN) The invention discloses application of OsCCT22 and a coding gene thereof in regulation and control of heading period, plant height and yield of rice. The OsCCT22 disclosed by the invention is a protein of which the amino acid sequence is SEQ ID No. 1. A CRISPR/cas9 gene editing method is utilized to edit the OsCCT22 gene in the rice to obtain an OsCCT22 gene editing strain, the heading period of a rice mutant obtained after the OsCCT22 gene is edited is shortened, the plant height is reduced, and the yield is improved, which shows that the OsCCT22 gene and the OsCCT22 protein thereof can simultaneously regulate and control the heading period, the plant height and the yield of the rice, and the application prospect is very good.(ZH) 本发明公开了OsCCT22及其编码基因在调控水稻的抽穗期、株高与产量中的应用。本发明公开的OsCCT22为氨基酸序列是SEQ ID No.1的蛋白质。本发明利用CRISPR/cas9基因编辑方法对水稻中OsCCT22基因进行编辑，获得OsCCT22基因编辑株系，OsCCT22基因被编辑后所得水稻突变体的抽穗期缩短、株高降低、产量提高，说明OsCCT22基因及其OsCCT22蛋白质可以同时调控水稻的抽穗期、株高与产量，本发明具有很好的应用前景。",,,,北京纪凯知识产权代理有限公司 11245,
CN393834652,202210260018,China,16.03.2022,115747352,07.03.2023,A,"C12Q 1/689
					






C12Q 1/6844
					






C12Q 1/04
					






C12N 15/11
					








C12Q 1/689
					






C12Q 1/6844
					






C12Q 1/04
					






C12N 15/11
					






View less classifications","Y02A 50/30
					








Y02A 50/30
					






View less classifications","SHANGHAI CUSTOMS ANIMAL, PLANT AND FOOD INSPECTION AND QUARANTINE TECHNOLOGY CENTER上海海关动植物与食品检验检疫技术中心",JIANG YUAN蒋原YANG JIELIN杨捷琳SHEN JINLING申进玲XUE JUNXIN薛俊欣LI JIAN李健,,(EN) CRISPR/Cas12a primer and kit for detecting campylobacter jejuni and use method of CRISPR/Cas12a primer and kit(ZH) 一种用于空肠弯曲杆菌检测的CRISPR/Cas12a引物、试剂盒及其使用方法,"(EN) The invention discloses a CRISPR (clustered regularly interspaced short palindromic repeats)/Cas12a (CRISPR/Cas12a) primer for detecting campylobacter jejuni, a kit and a use method of the CRISPR/Cas12a primer. The CRISPR/Cas12a primer comprises sequences as shown in SEQ ID NO.1 and SEQ ID NO.2, and the kit comprises the CRISPR/Cas12a primer, crRNA or a crRNA preparation reagent, a nucleic acid amplification reagent, a probe and Cas12a enzyme. The kit and the use method thereof have the advantages of rapidness, strong specificity, high sensitivity and the like in detection of Shigella, no special instrument is needed in the detection process, and the kit and the use method have important application value in the fields of disease monitoring, clinical diagnosis, food safety monitoring and the like.(ZH) 本发明公开了一种用于空肠弯曲杆菌检测的CRISPR/Cas12a引物、试剂盒及其使用方法，所述CRISPR/Cas12a引物包括如SEQ ID NO.1和SEQ ID NO.2所示的序列，所述试剂盒包括CRISPR/Cas12a引物、crRNA或crRNA制备试剂、核酸扩增试剂、探针和Cas12a酶。本发明的试剂盒及其使用方法对于志贺氏菌的检测具有快速、特异性强和灵敏度高等优点，其检测过程不需要特殊仪器,在疾病监测、临床诊断和食品安全监测等领域具有重要的应用价值。",,,,上海领誉知识产权代理有限公司 31383,
CN398503042,202211406558,China,10.11.2022,116103443,12.05.2023,A,"C12Q 1/70
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/93
					








C12Q 1/70
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/93
					






View less classifications","C12Q 1/701
					






C12Q 1/6844
					






Y02A 50/30
					








C12Q 1/701
					






C12Q 1/6844
					






Y02A 50/30
					






View less classifications","SHANGHAI CUSTOMS ANIMAL, PLANT AND FOOD INSPECTION AND QUARANTINE TECHNOLOGY CENTER上海海关动植物与食品检验检疫技术中心",XUE JUNXIN薛俊欣HAN WEI韩伟FAN YANLI樊彦莉FENG ZHIHANG冯之航LIN YINGZHENG林颖峥LI JIAN李健XIONG WEI熊炜CAI YICUN蔡一村ZHANG QIANG张强,,"(EN) Primer group, kit and detection method for CRISPR (clustered regularly interspaced short palindromic repeats) detection of PRRSV (porcine reproductive and respiratory syndrome virus) pedigree 1C variant(ZH) 用于PRRSV谱系1C变异株CRISPR检测的引物组、试剂盒及其检测方法","(EN) The invention relates to a primer group, a kit and a detection method for CRISPR (clustered regularly interspaced short palindromic repeats) detection of a PRRSV (porcine reproductive and respiratory syndrome virus) pedigree 1C variant. Specifically, the invention provides a primer group for CRISPR (clustered regularly interspaced short palindromic repeats) detection of a PRRSV (porcine reproductive and respiratory syndrome virus) pedigree 1C variant. The primer group comprises nucleic acid amplification primer pairs with sequences shown as SEQ ID NO.1 and SEQ ID NO.2. The invention further provides a method for detecting CRISPR of the PRRSV pedigree 1C variant. The primer group disclosed by the invention can be used for CRISPR detection of the PRRSV pedigree 1C variant, and the PRRSV pedigree 1C variant can be efficiently, sensitively and specifically detected by using a CRISPR/Cas12a detection method.(ZH) 本发明涉及用于PRRSV谱系1C变异株CRISPR检测的引物组、试剂盒及其检测方法。具体地，本发明提供用于PRRSV谱系1C变异株CRISPR检测的引物组所述引物组包括：如SEQ ID NO.1和SEQ ID NO.2所示序列的核酸扩增引物对。本发明所述的引物组能够用于PRRSV谱系1C变异株CRISPR检测，使用CRISPR/Cas12a检测方法，能够高效、灵敏、特异性地检测PRRSV谱系1C变异株。",,,,上海领誉知识产权代理有限公司 31383,
,,,,,,,,,,,,,,,,,,
