Application Id,Application Number,Publication Number,Publication Date,IPC,CPC,Applicants,Inventors,Agents,Priority Data,Address Picture,Title,Abstract,Related Patent Documents,Office,Application Date,Publication Kind,Grant Number,Grant Date,Publication Language,F-term,FI
MX283331777,2019007546,2019007546,24.10.2019,"A01H 1/06
					








A01H 1/06
					






View less classifications","A01H 1/06
					





CN426828106,202311841397,117757807,26.03.2024,"C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/00
					






A01H 6/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/00
					






A01H 6/82
					






View less classifications",,YANGZHOU UNIVERSITY扬州大学,ZHU WENQI朱雯琪JEONG HAE-DONG丁海东JIANG HAILONG蒋海龙ZHAO YULE赵雨乐,扬州苏中专利事务所(普通合伙) 32222,,,(EN) Tomato SlMIS1 gene and application thereof in improving high temperature resistance of tomato(ZH) 番茄SlMIS1基因及其在提高番茄耐高温能力中的应用,"(EN) The invention belongs to the technical field of crop genetic engineering and molecular biology, and relates to a tomato SlMIS1 gene and application thereof in improvement of tomato high temperature resistance, the nucleotide sequence of the gene SlMIS1 is as shown in SEQ ID NO.1, and the corresponding amino acid sequence of the gene SlMIS1 is as shown in SEQ ID NO.2; a tomato SlMIS1 gene knockout mutant strain is obtained by using a CRISPR/Cas9 gene editing technology, and it is found that after high-temperature treatment, compared with a wild type, the SlMIS1 mutant strain (slmis1) is higher in high-temperature resistance, which indicates that the SlMIS1 gene negatively regulates the high-temperature resistance of tomatoes; the invention provides a new gene resource for cultivating a new variety of high-temperature-resistant tomato crops, has better application value, and also provides an experimental thought and a theoretical basis for researching a molecular mechanism of plant response to high temperature.(ZH) 本发明属于农作物基因工程及分子生物学技术领域，涉及番茄SlMIS1基因及其在提高番茄耐高温能力中的应用，基因SlMIS1的核苷酸序列如SEQ ID NO.1所示，其对应的氨基酸序列如SEQ ID NO.2所示；利用CRISPR/Cas9基因编辑技术获得番茄SlMIS1基因敲除的突变体株系，发现高温处理后，与野生型相比，SlMIS1突变体株系（slmis1）更耐高温，说明SlMIS1基因负调控番茄的耐高温性；本发明为培育抗高温的番茄作物新品种提供了新的基因资源，具有较好的应用价值，同时也为研究植物应答高温的分子机制提供了实验思路和理论基础。",,China,29.12.2023,B,,,,,
CN436540298,202410637361,118406693,30.07.2024,"C12N 15/29
					






C12N 15/82
					






A01H 6/20
					






A01H 5/00
					








C12N 15/29
					






C12N 15/82
					






A01H 6/20
					






A01H 5/00
					






View less classifications","C07K 14/415
					






C12N 15/8271
					






C12N 15/8218
					






C12N 15/8205
					








C07K 14/415
					






C12N 15/8271
					






C12N 15/8218
					






C12N 15/8205
					






View less classifications",SOUTH CHINA AGRICULTURAL UNIVERSITY华南农业大学,QI HUA齐华LUO YILI罗伊莉ZHENG YUPING郑宇平LIU TING刘婷ZHOU SHUNKANG周顺康XIE LIJUAN谢丽娟QIU RONGLIANG仇荣亮,广州京诺知识产权代理有限公司 44407,,,(EN) Application of arabidopsis thaliana HMP46 gene in improvement of cadmium stress resistance of plants(ZH) 一种拟南芥HMP46基因在提高植物镉胁迫抗性中的应用,"(EN) The invention relates to application of an arabidopsis HMP46 gene in improvement of cadmium stress resistance of plants, and discloses application of the arabidopsis HMP46 gene in improvement of cadmium stress resistance of the plants, which discovers that the expression of the HMP46 gene is obviously up-regulated under the induction of cadmium stress, an HMP46 gene mutation vector is constructed through a CRISPR (clustered regularly interspaced short palindromic repeats) technology, and an arabidopsis HMP46 gene mutant is obtained and is used for analyzing the biological function of the HMP46 gene in regulation and control of the cadmium stress resistance of the arabidopsis. The arabidopsis thaliana HMP46 gene mutant is sensitive to cadmium stress, which shows that under the cadmium stress condition of a certain concentration, the elongation and chlorophyll content of the HMP46 gene mutant root are obviously lower than those of a wild plant. Experiments confirm that the arabidopsis thaliana HMP46 gene has potential application value in the aspect of improving the cadmium stress resistance of plants, and a good theoretical and application foundation is laid for cultivating cadmium-tolerant high-yield crop varieties by using the arabidopsis thaliana HMP46 gene.(ZH) 一种拟南芥HMP46基因在提高植物镉胁迫抗性中的应用，本发明发现HMP46基因表达受镉胁迫诱导显著上调，通过CRISPR技术构建HMP46基因突变载体，并由此获得了拟南芥HMP46基因突变体，用于分析HMP46基因调控拟南芥镉胁迫耐受性的生物学功能；所述拟南芥HMP46基因突变体对镉胁迫较为敏感，表现为在一定浓度的镉胁迫条件下，HMP46基因突变体根的伸长及叶绿素含量都显著低于野生型植物。本发明通过实验确认了拟南芥HMP46基因在提高植物镉胁迫抗性方面具有潜在的应用价值，并为利用拟南芥HMP46基因培育耐镉高产的农作物品种奠定了良好的理论和应用基础。",,China,22.05.2024,A,,,,,
CN394136643,202211028655,115772534,10.03.2023,"C12N 15/82
					






C12N 15/29
					






A01H 5/00
					






A01H 6/20
					








C12N 15/82
					






C12N 15/29
					






A01H 5/00
					






A01H 6/20
					






View less classifications",,HENAN AGRICULTURAL UNIVERSITY河南农业大学,CUI XIAONA崔晓娜ZHANG HAIRONG张海荣CAO YUANYUAN曹园园ZHOU SHUHAO周舒浩LI ZIWEN李子文,郑州盈派知识产权代理事务所(普通合伙) 41196郑州盈派知识产权代理事务所(普通合伙) 41196,,,(EN) Application of NUA gene in plant salt stress resistance regulation(ZH) NUA基因在植物盐胁迫抗性调控中的应用,"(EN) The invention discloses an application of an NUA gene in plant salt stress resistance regulation and control, and aims to solve the technical problem that the improvement of plant salt tolerance and the breeding of salt-tolerant plant varieties are lack of effective technical means. Researches in the invention find that the NUA gene is knocked out or the expression of the NUA gene is reduced, so that the tolerance of plants to salt stress can be improved; by identifying the T-DNA insertion mutant of the arabidopsis thaliana NUA, the salt stress resistance of the mutant is obviously improved compared with that of a wild type. Through the CRISPR-Cas9 technology, the NUA gene is knocked out or the expression of the NUA gene is reduced, a non-transgenic editing mutant without insertion of an exogenous transformation vector can be obtained, and popularization and application in crops are facilitated.(ZH) 本申请公开了一种NUA基因在植物盐胁迫抗性调控中的应用，旨在解决植物耐盐性提高及耐盐植物品种选育缺乏有效技术手段的技术问题。本申请研究发现，敲除NUA基因或降低其表达，能够增加植物对盐胁迫的耐受；并通过鉴定拟南芥NUA的T‑DNA插入突变体，发现突变体与野生型相比对盐胁迫的抗性明显提高。通过CRISPR‑Cas9技术对NUA基因进行敲除或降低其表达的编辑，可获得没有外源转化载体插入的非转基因编辑突变体，有利于在作物中推广应用。",,China,25.08.2022,A,12012605,,,,
IN275746682,201917018418,201917018418,26.07.2019,"A01H 1/04
					








A01H 1/04
					






View less classifications",,"PIONEER HI-BRED INTERNATIONAL, INC.","GAO, Huirong LI, Bailin MEELEY, Robert B. PERUGINI, Leandro Daniel TABOR, Girma M.",,62/407867 13.10.2016 US,,(EN) GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE,"(EN) Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaks into the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistant alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.","US3416802

CA3037560

CN109844121

BR112019007327

EP3525578

EA201990924

WO/2018/071362

US20220275392

EA202292659

EP4242330

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",India,08.05.2019,A,,,,,
US372936162,16341531,20220275392,01.09.2022,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8213
					






C12N 15/82
					






C12N 15/8282
					








C12N 15/8213
					






C12N 15/82
					






C12N 15/8282
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.",Huirong GaoBailin LiRobert B MeeleyLeandro Daniel PeruginiGirma M Tabor,,,,(EN) Generating northern leaf blight resistant maize,"(EN) 
Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaks into the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistant alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.","US3416802

CA3037560

CN109844121

BR112019007327

EP3525578

EA201990924

WO/2018/071362

EA202292659

EP4242330

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN201917018418",United States of America,10.10.2017,B2,11820990,,,,
EP407445712,23158586,4242330,13.09.2023,"C12Q 1/6895
					








C12Q 1/6895
					






View less classifications","C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					








C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					






View less classifications",PIONEER HI BRED INT,GAO HUIRONGLI BAILINMEELEY ROBERT BPERUGINI LEANDRO DANIELTABOR GIRMA M,,17787833 10.10.2017 EP201662407867 13.10.2016 US2017055835 10.10.2017 US,,(DE) ERZEUGUNG VON GEGEN NÖRDLICHER BLATTFLECKENKRANKHEIT RESISTENTEM MAIS(EN) GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE(FR) GÉNÉRATION DE MAÏS RÉSISTANT À L'HELMINTHOSPORIOSE DU NORD,"(EN) Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaks into the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistance alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.","US3416802

CA3037560

CN109844121

BR112019007327

EP3525578

EA201990924

WO/2018/071362

US20220275392

EA202292659

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN201917018418",European Patent Office,10.10.2017,A2,,,"View all
							



AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,
US309777020,16955920,20200340002,29.10.2020,"C12N 15/82
					






C12N 9/22
					






C12N 9/78
					






C12N 15/11
					








C12N 15/82
					






C12N 9/22
					






C12N 9/78
					






C12N 15/11
					






View less classifications","C12N 9/22
					






C12N 15/8213
					






C12N 9/78
					






C12N 15/11
					






C12N 15/8216
					






C12Y 305/04002
					






View more classifications
							






C12N 9/22
					






C12N 15/8213
					






C12N 9/78
					






C12N 15/11
					






C12N 15/8216
					






C12Y 305/04002
					






C07K 2319/09
					






C12N 2310/20
					






C12N 2800/80
					






View less classifications","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY, CHINESE ACADEMY OF SCIENCES",Caixia GaoChao LiYuan ZongYanpeng Wang,Troutman Pepper Hamilton Sanders LLP,201711393160.7 21.12.2017 CN201810402244.0 28.04.2018 CN,,(EN) Method for base editing in plants,"(EN) 
Provided relates to the field of genetic engineering. In particular, a method for base editing in plant is provided. More specifically, a highly efficient A to G base editing method for a target sequence in a genome of a plant (e.g., a crop plant) by a guide RNA-directed CRISPR-adenine deaminase fusion protein and the plant and their progeny produced by the method are provided.","CN110157727

WO/2019/120283

EP3728600

BR112020010594

CA3091157",United States of America,21.12.2018,B2,112501179,,,,
US410037111,18246317,20230313162,05.10.2023,"C12N 9/22
					






C12N 15/10
					






C12N 15/82
					








C12N 9/22
					






C12N 15/10
					






C12N 15/82
					






View less classifications","C12N 15/102
					






C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					








C12N 15/102
					






C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					






View less classifications","INARI AGRICULTURE TECHNOLOGY, INC.",Neena Kenton PyzochaAdam Patrick JoyceAsa Budnick,,,,(EN) USE OF CRISPR-CAS ENDONUCLEASES FOR PLANT GENOME ENGINEERING,"(EN) 
Use of CRISPR/Cas12d systems in eukaryotic organisms including plants and eukaryotic cells for genome engineering, and compositions used in such methods are disclosed.",,United States of America,21.09.2021,A1,,,,,
CN321136883,202011261356,112501179,16.03.2021,"C12N 15/29
					






C12N 15/82
					






A01H 4/00
					






A01H 5/00
					






A01H 6/54
					








C12N 15/29
					






C12N 15/82
					






A01H 4/00
					






A01H 5/00
					






A01H 6/54
					






View less classifications","C12N 15/8218
					






C12N 15/8261
					






C07K 14/415
					






A01H 4/00
					








C12N 15/8218
					






C12N 15/8261
					






C07K 14/415
					






A01H 4/00
					






View less classifications",FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY福建农林大学,CHEN XU陈栩CUI YUANYUAN崔原原KE MEIYU柯美玉GAO ZHEN高震HUANG LAIMEI黄来妹CHEN JIAOMEI陈娇梅,厦门智慧呈睿知识产权代理事务所(普通合伙) 35222,,,(EN) Method for regulating soybean nodulation and close planting through GmPIN1 gene mutation and application of method(ZH) GmPIN1基因突变调控大豆结瘤和密植的方法及其应用,"(EN) The invention discloses a method for regulating soybean nodulation and close planting through GmPIN1 gene mutation and application of the method. The application provided by the invention is specifically the application of three homologous genes GmPIN1a, GmPIN1b and GmPIN1c encoded by GmPIN1 in regulation and control of soybean root nodule formation and plant type establishment. Experiments of theinvention prove that the soybean proteins GmPIN1a, GmPIN1b and GmPIN1c and the encoding genes of the soybean proteins GmPIN1a, GmPIN1b and GmPIN1c are closely related to the occurrence of soybean symbiotic nodules, and after the genes are knocked out, the nodules number of soybeans is reduced, and the lateral branch included angle of the overground part is remarkably weakened. Moreover, plants without CRISPR/Cas9 carrier fragments are screened from the homozygous three mutant offspring of the transgenic soybean Gmpin1abcL1, and excellent germplasm resource reserves are provided for regulatingsoybean symbiotic nitrogen fixation, close planting and high-yield breeding.(ZH) 本发明公开了GmPIN1基因突变调控大豆结瘤和密植的方法及其应用。本发明所提供的应用具体为由GmPIN1编码的其中三个同源基因GmPIN1a，GmPIN1b，GmPIN1c在调控大豆根瘤形成和株型建成中的应用。本发明的实验证明，大豆蛋白GmPIN1a，GmPIN1b，GmPIN1c及其编码基因与大豆共生结瘤的发生密切相关，基因敲除后减少大豆的结瘤数目并显著减弱地上部分的侧枝夹角。并且，转基因大豆Gmpin1abc‑L1的纯合三突变体后代中筛选到不含CRISPR/Cas9载体片段的植株，为调节大豆共生固氮和密植、高产育种提供优良的种质资源储备。",,China,12.11.2020,B,,,,,
US130907148,14291605,20150067922,05.03.2015,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8289
					






C12N 15/8274
					






C12N 15/8273
					






C12N 15/8286
					






C12N 15/8271
					






C12N 15/8247
					






View more classifications
							






C12N 15/8289
					






C12N 15/8274
					






C12N 15/8273
					






C12N 15/8286
					






C12N 15/8271
					






C12N 15/8247
					






C12N 15/8245
					






C12N 15/8281
					






C12N 15/8282
					






C12N 15/8283
					






C12N 15/8261
					






View less classifications",The Penn State Research Foundation,Yinong YangKabin Xie,,,,(EN) GENE TARGETING AND GENETIC MODIFICATION OF PLANTS VIA RNA-GUIDED GENOME EDITING,"(EN) 
The present invention provides compositions and methods for specific gene targeting and precise editing of DNA sequences in plant genomes using the CRISPR (cluster regularly interspaced short palindromic repeats) associated nuclease. Non-transgenic, genetically modified crops can be produced using these compositions and methods.",WO/2014/194190,United States of America,30.05.2014,A1,,,,,
IN392341083,202227066024,202227066024,17.02.2023,"C12N 15/82
					








C12N 15/82
					






View less classifications",,OXFORD UNIVERSITY INNOVATION LIMITED,"HENDRON, Ross LOPEZ-PEREZ, Enrique KELLY, Steven",,2007526.3 20.05.2020 UK,,(EN) ENHANCEMENT OF PRODUCTIVITY IN C3 PLANTS,"(EN) Vascular sheath tissue-specific expression of phytochrome B or variants thereof in C3 plants increases photosynthesis rate and/or introduces a carbon refixation mechanism. The heritable genetic material of a C3 plant cell is altered such that one copy of phytochrome B, or active variant or functional fragment thereof is expressed specifically in vascular sheath cells. Whole plants are regenerated from these genetically altered plant cells. Alternatively, a Crispr modification of a native phytochrome locus in a plant cell is used to insert a vascular sheath-specific regulatory element, e.g. promoter or enhancer element, so that phytochrome B is expressed in vascular sheath cells of a regenerated whole plant. Genetically altered whole plants have increased yield-related traits, e.g. increased seed yield, resulting from the enhancement of photosynthesis and/or introduction of a carbon refixation mechanism.","WO/2021/234370

AU2021274120

BR112022023522

CA3178261

EP4153754

CN116157526

JP2023531153

US20230279419

BRGB2021051195

AR122124",India,17.11.2022,A,,,,,
US406481574,17999358,20230279419,07.09.2023,"C12N 15/82
					






C07K 14/415
					








C12N 15/82
					






C07K 14/415
					






View less classifications","C07K 14/415
					






C12N 15/8269
					






C12N 15/8225
					








C07K 14/415
					






C12N 15/8269
					






C12N 15/8225
					






View less classifications",OXFORD UNIVERSITY INNOVATION LIMITED,Ross HENDRONEnrique LOPEZ-JUEZSteven KELLY,,2007526.3 20.05.2020 GB,,(EN) ENHANCEMENT OF PRODUCTIVITY IN C3 PLANTS,"(EN) 
Vascular sheath tissue-specific expression of phytochrome B or variants thereof in C3 plants increases photosynthesis rate and/or introduces a carbon refixation mechanism. The heritable genetic material of a C3 plant cell is altered such that one copy of phytochrome B, or active variant or functional fragment thereof is expressed specifically in vascular sheath cells. Whole plants are regenerated from these genetically altered plant cells. Alternatively, a Crispr modification of a native phytochrome locus in a plant cell is used to insert a vascular sheath-specific regulatory element, e.g. promoter or enhancer element, so that phytochrome B is expressed in vascular sheath cells of a regenerated whole plant. Genetically altered whole plants have increased yield-related traits, e.g. increased seed yield, resulting from the enhancement of photosynthesis and/or introduction of a carbon refixation mechanism.","WO/2021/234370

AU2021274120

BR112022023522

CA3178261

EP4153754

CN116157526

JP2023531153

BRGB2021051195

AR122124

IN202227066024",United States of America,18.05.2021,A1,,,,,
AU378724754,2021274120,2021274120,25.11.2021,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8269
					






Y02A 40/146
					






C07K 14/415
					






C12N 15/8225
					








C12N 15/8269
					






Y02A 40/146
					






C07K 14/415
					






C12N 15/8225
					






View less classifications",Oxford University Innovation Limited,"HENDRON, RossKELLY, StevenLÓPEZ-JUEZ, Enrique",Spruson & Ferguson,2007526.3 20.05.2020 GB,,(EN) Enhancement of productivity in C3 plants,"(EN) Vascular sheath tissue-specific expression of phytochrome B or variants thereof in C3 plants increases photosynthesis rate and/or introduces a carbon refixation mechanism. The heritable genetic material of a C3 plant cell is altered such that one copy of phytochrome B, or active variant or functional fragment thereof is expressed specifically in vascular sheath cells. Whole plants are regenerated from these genetically altered plant cells. Alternatively, a Crispr modification of a native phytochrome locus in a plant cell is used to insert a vascular sheath-specific regulatory element, e.g. promoter or enhancer element, so that phytochrome B is expressed in vascular sheath cells of a regenerated whole plant. Genetically altered whole plants have increased yield-related traits, e.g. increased seed yield, resulting from the enhancement of photosynthesis and/or introduction of a carbon refixation mechanism.","WO/2021/234370

BR112022023522

CA3178261

EP4153754

CN116157526

JP2023531153

US20230279419

BRGB2021051195

AR122124

IN202227066024",Australia,18.05.2021,A1,,,,,
US427161074,17909309,20240117368,11.04.2024,"C12N 15/82
					






C12N 9/22
					








C12N 15/82
					






C12N 9/22
					






View less classifications","C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					








C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					






View less classifications",Suzhou Qi Biodesign Biotechnology Company Limited,Caixia GaoChao LiKunling Chen,,202010143643.7 04.03.2020 CN,,(EN) MULTIPLEX GENOME EDITING METHOD AND SYSTEM,"(EN) 
The invention relates to the field of plant genetic engineering. In particular, the invention relates to a method and system for multiplex genome editing suitable for plants, especially crops. More particularly, the invention relates to a CRISPR nickase-based system and method, which can simultaneously carry out different types of genome editing.","WO/2021/175289

BR112022017704

EP4116426

CN115667528

BR112022017704This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",United States of America,04.03.2021,A1,,,,,
EP389041738,21764356,4116426,11.01.2023,"C12N 15/82
					






A01H 6/46
					






C12N 9/22
					






C12N 15/113
					








C12N 15/82
					






A01H 6/46
					






C12N 9/22
					






C12N 15/113
					






View less classifications","C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					






C12N 15/102
					








C12N 9/22
					






C12N 15/8213
					






C12N 2310/20
					






C12N 15/102
					






View less classifications",SUZHOU QI BIODESIGN BIOTECHNOLOGY COMPANY LTD,GAO CAIXIALI CHAOCHEN KUNLING,,202010143643 04.03.2020 CN,,(DE) MULTIPLEX-GENOMEDITIERVERFAHREN UND -SYSTEM(EN) MULTIPLEX GENOME EDITING METHOD AND SYSTEM(FR) PROCÉDÉ ET SYSTÈME D'ÉDITION DE GÉNOME MULTIPLEX,"(EN) The invention relates to the field of plant genetic engineering. In particular, the invention relates to a method and system for multiplex genome editing suitable for plants, especially crops. More particularly, the invention relates to a CRISPR nickase-based system and method, which can simultaneously carry out different types of genome editing.(FR) L'invention concerne un procédé et un système d'édition de génome multiplex applicables à des plantes, en particulier des cultures. Le procédé et le système sont basés sur une nucléase nCas9, et permettent d'effectuer simultanément divers types d'édition génomique.","WO/2021/175289

BR112022017704

CN115667528

US20240117368

BR112022017704This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",European Patent Office,04.03.2021,A4,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,
CN436033320,202410521719,118291533,05.07.2024,"C12N 15/84
					






C12N 15/113
					






C12N 9/22
					






C12N 15/29
					






A01H 5/02
					






A01H 6/46
					








C12N 15/84
					






C12N 15/113
					






C12N 9/22
					






C12N 15/29
					






A01H 5/02
					






A01H 6/46
					






View less classifications","C12N 15/827
					






C12N 15/8216
					






C12N 15/113
					






C12N 9/22
					






C07K 14/415
					








C12N 15/827
					






C12N 15/8216
					






C12N 15/113
					






C12N 9/22
					






C07K 14/415
					






View less classifications","BEIDAHUANG KENFENG SEED INDUSTRY CO., LTD.北大荒垦丰种业股份有限公司",LI ZHONGSEN李忠森MA RUI马瑞ZHU TING朱婷WANG MINGYUE王明月LIU DAN刘丹LI QIANG李强WANG JIN王晋,北京纪凯知识产权代理有限公司 11245,,,(EN) Method for changing flowering period of rice by gene editing and application(ZH) 基因编辑改变水稻开花期的方法及应用,"(EN) The invention belongs to the field of crops, particularly relates to a method for changing the flowering period of rice through gene editing and application, and more particularly provides application of editing rice DTH7 and DTH8 genes at the same time through a gene editing tool in changing the flowering period of rice. Gene editing genetic transformation vectors aiming at rice flowering control genes DTH7 and DTH8 are designed and constructed, rice is transformed by an agrobacterium-mediated method, simultaneous multiple editing of nucleotide sequences of a regenerated plant DTH7 gene target region and a DTH8 gene target region is realized, the gene editing efficiency reaches up to 100%, and the gene editing efficiency reaches up to 100%. Compared with other flowering control gene combinations, the non-transgenic and stably inherited homozygous editing rice line with the growth period shortened by 45 days or above is finally obtained, and compared with other flowering control gene combinations, the flowering combination gene plants edited by the method grow and develop normally, and no significant phenotypic defect is observed.(ZH) 本发明属于农作物领域，尤其涉及一种通过基因编辑改变水稻开花期的方法及应用，更具体的，本发明提供的是一种通过基因编辑工具同时编辑水稻DTH7和DTH8基因在改变水稻开花期中的应用，本发明通过建立基于CRISPR/Cas9植物基因编辑体系，设计并构建针对水稻开花控制基因DTH7和DTH8的基因编辑遗传转化载体，用农杆菌介导方法转化水稻，实现了再生植株DTH7基因目标区域及DTH8基因目标区域核苷酸序列的同时多种编辑，基因编辑效率高达100%，并最终获得了生育期缩短45天以上、非转基因、稳定遗传的纯合编辑水稻品系，且相对于编辑其他开花控制基因组合而言，本发明编辑的开花组合基因植株生长发育正常，未观察到显著表型缺陷。",,China,28.04.2024,A,,,,,
AU277606675,2018264457,2018264457,15.11.2018,"C12N 9/22
					






A01H 5/00
					






C12N 15/52
					






C12N 15/82
					








C12N 9/22
					






A01H 5/00
					






C12N 15/52
					






C12N 15/82
					






View less classifications","C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






View more classifications
							






C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






C12N 15/8201
					






C12N 15/8274
					






C12Q 1/25
					






C12Q 1/26
					






C12Q 1/48
					






C12Q 1/6895
					






C12Y 113/11027
					






C12Y 202/01006
					






C12Y 205/01019
					






C12Y 604/01002
					






C12Q 2600/13
					






C12Q 2600/156
					






C12N 2810/10
					






G01N 2333/91182
					






G01N 2333/9104
					






G01N 2333/90241
					






G01N 2333/9015
					






C07K 2319/85
					






C12N 15/8213
					






C12N 15/8278
					






C12Y 305/04005
					






A01H 1/06
					






C12N 2310/20
					






C12N 15/113
					






View less classifications","China Agricultural UniversityInstitute of Genetics and Developmental Biology, Chinese Academy of Sciences","Gao, CaixiaJiang, Linjian",Spruson & Ferguson,201710329242.9 11.05.2017 CN,,(EN) Creation of herbicide resistant gene and use thereof,(EN) Provided is a method for creating herbicide resistant plant by CRISPR/Cas9 system. A method for screening endogenous gene mutation sites capable of conferring herbicide resistance in plants and the use of the identified endogenous gene mutation sites in crop breeding are provided too.,"CN108866092

AR111790

KR1020200008137

EP3622061

EA201992637

BR112019023377

JP2020519310

WO/2018/205995

US20210189416

CN115927437

CA3062976

UAa201911633This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20220267788",Australia,11.05.2018,A1,7170807,,,,
US209022145,15630817,20170369892,28.12.2017,"C12N 15/82
					






C12N 15/01
					






C12N 15/10
					






C12N 15/63
					






C12N 9/22
					






C12N 15/00
					








C12N 15/82
					






C12N 15/01
					






C12N 15/10
					






C12N 15/63
					






C12N 9/22
					






C12N 15/00
					






View less classifications","C12N 15/82
					






C12N 15/8213
					






C12N 15/63
					






C12N 9/22
					






C12N 15/01
					






C12N 15/102
					






View more classifications
							






C12N 15/82
					






C12N 15/8213
					






C12N 15/63
					






C12N 9/22
					






C12N 15/01
					






C12N 15/102
					






C12N 15/00
					






View less classifications",University of Washington,Eric KlavinsArjun KhakharJennifer L. Nemhauser,,,,(EN) HORMONE DEGRADABLE CRISPR-BASED TRANSCRIPTION FACTORS,"(EN) 
Synthetic signal transduction systems are provided. The synthetic signal transduction system may be a hormone degradable CRISPR-based transcription factor including a nuclease null Cas9 protein, a nuclear localization signal, a phytohormone degron, and a transcriptional regulation domain. Methods of generating non-naturally occurring plants are also provided. The methods may include expressing a synthetic signal transduction system in a plant. Non-naturally occurring plants formed by the methods are also provided.",,United States of America,22.06.2017,A1,,,,,
