Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Grant Number,Grant Date,Publication Kind,Applicants,IPC,CPC,Inventors,Agents,Address Picture 2,Title,Abstract,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Publication Language,Filing Language,Designated States,Chapter 2 Demand Filed,FI,F-term
US399233750,17916516,United States of America,02.04.2021,20230175002,08.06.2023,,,A1,The Regents of the University of California,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8218
					






C12N 15/8243
					






C12N 15/8273
					








C12N 15/8218
					






C12N 15/8243
					






C12N 15/8273
					






View less classifications",Siobhan M. BRADYAlex CANTO-PASTORMona GOURANKaisa KAJALADorota KAWAGrace Alex MASONConcepcion MANZANONiba NIRMALLidor SHAAR-MOSHEJulie BAILEY-SERRESAlex BOROWSKYMauricio REYNOSONeelima SINHA,,,(EN) SUBERIN BIOSYNTHETIC GENES AND REGULATORS,"(EN) 
The present disclosure provides a list of genes, and the proteins encoded by these genes, that modulate and/or participate in the synthesis of the biopolymer suberin. The genes described here are useful in methods for producing genetically modified plants or breeding plants with altered production (enhanced or disrupted) of suberin. Such plants can contain modified or mutated candidate peptides; or have disrupted expression of using methods such as clustered regularly-interspaced short palindromic repeats (CRISPR)/CRISPR associated (Cas) nuclease, an antisense nucleic acid, a zinc finger nuclease (ZFN), or a transcription activator-like effector (TALE) nuclease. Suberin has a positive influence on response to plant water stress, a long-lasting role as a carbon sink in soil; and the lack of suberin encourages symbioses for nutrient uptake as well as for prevention of pathogenicity.",,WO/2021/202978,,,,,,,,
EP323272303,19830583,European Patent Office,03.07.2019,3816292,05.05.2021,,,A4,GUANGDONG SANJIE FORAGE BIOTECHNOLOGY CO LTD,"C12N 15/29
					






A01H 5/12
					






A01H 6/54
					






C12N 15/82
					








C12N 15/29
					






A01H 5/12
					






A01H 6/54
					






C12N 15/82
					






View less classifications","C12N 15/8216
					






C12N 15/8261
					






C07K 14/415
					






A01H 6/544
					






C12N 15/8213
					






Y02A 40/146
					








C12N 15/8216
					






C12N 15/8261
					






C07K 14/415
					






A01H 6/544
					






C12N 15/8213
					






Y02A 40/146
					






View less classifications",CHEN HAITAOWANG WENXIE XIONGPINGQIU QIANGSHANG ZHANHUANSU KEXIANHE HUI,,,(DE) VERFAHREN ZUR GEWINNUNG VON MEHRBLÄTTRIGEM ALFALFAMATERIAL MITTELS KÜNSTLICHEM STELLENGERICHTETEM MSPALM1-MUTANT(EN) METHOD OF OBTAINING MULTI-LEAF ALFALFA MATERIAL BY MEANS OF MSPALM1 ARTIFICIAL SITE-DIRECTED MUTANT(FR) MÉTHODE D'OBTENTION D'UN MATÉRIAU DE LUZERNE MULTI-FEUILLES AU MOYEN D'UN MUTANT DIRIGÉ SUR UN SITE ARTIFICIEL MSPALM1,"(EN) Disclosed is a method for obtaining multileaflet Medicago sativa materials by means of MsPALM1 artificial site-directed mutants. The method comprises: selecting a target site from an exon region of a compound leaf developmental regulatory gene MsPALM1 of Medicago sativa and constructing a plant CRISPR/Cas9 editing recombinant vector MsCRISPR/Cas9::PALM1 and introducing the vector into Medicago sativa cells and regenerating into plants, cutting and repairing to cause a loss-of-function mutation in the MsPALM1 gene of Medicago sativa cells, and then screening the mutant plants by restriction endonuclease digestion and/or targeted deep sequencing of the target sites of the regenerated plantsgenome to obtain lines carrying four MsPALM1 allelic genes with simultaneous loss of function mutation. After phenotypic identification, it was confirmed that the compound leaves of the regenerated plants changed from three leaflets to five leaflets. The method can quickly obtain multileaflet Medicago sativa materials with a short breeding period and stable trait.(FR) L'invention concerne une méthode permettant d'obtenir un matériau de luzerne multi-feuilles au moyen d'un mutant dirigé sur un site artificiel MsPALM1. La méthode comprend les étapes consistant à : sélectionner un fragment cible d'une région d'exon d'un gène de régulation du développement de feuille composée MsPALM1 de luzerne et construire un vecteur recombinant ciblant CRISPR/Cas9 de plante MsCRISPR/Cas9::PALM1 et introduire celui-ci dans des cellules de luzerne et le reproduire dans des pousses, couper et réparer pour provoquer une mutation induisant une perte de fonction dans le gène MsPALM1 de cellules de luzerne, puis cribler les plantes mutantes par digestion par endonucléase de restriction et/ou séquençage en profondeur ciblé des fragments cibles du génome de souche reproduit pour obtenir des lignées portant quatre gènes MsPALM1 alléliques avec mutation simultanée de perte de fonction. Après identification phénotypique, il a été confirmé que les feuilles composées des plantes reproduites changent de trois feuillets à cinq feuillets. La méthode peut rapidement obtenir un matériau de luzerne multi-feuilles ayant une courte période de reproduction et des traits stables.",201810724563.3 04.07.2018 CN,"CN108949774

WO/2020/007332

AU2019297209

CA3105397

US20210269816

US20210171973",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,
CN276093287,201910709007,China,01.08.2019,110373414,25.10.2019,,,A,"INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所","C12N 15/113
					






C12N 15/82
					






C12N 5/10
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					








C12N 15/113
					






C12N 15/82
					






C12N 5/10
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/113
					






C12N 15/8278
					






C12N 15/8213
					






A01H 4/00
					






C12N 2310/10
					






C12N 2310/20
					








C12N 15/113
					






C12N 15/8278
					






C12N 15/8213
					






A01H 4/00
					






C12N 2310/10
					






C12N 2310/20
					






View less classifications",XIE CHUANXIAO谢传晓LI YANMIN李燕敏ZHU JINJIE朱金洁LIU CHANGLIN刘昌林HUANG CHANGLING黄长玲LI XINHAI李新海LI WENXUE李文学LI MINGSHUN李明顺,北京路浩知识产权代理有限公司 11002,,(EN) Method for efficiently preparing corn resistant to sulfonylurea herbicides and application of method(ZH) 一种高效创制磺酰脲类除草剂抗性玉米的方法及其应用,"(EN) The invention relates to the technical field of plant gene engineering, in particular to a method for efficiently preparing corn resistant to sulfonylurea herbicides and application of the method. AnsgRNA for specific targeting of ALS1 and ALS2 genes of the corn, a CRISPR/Cas9 genome single-base editing carrier containing the sgRNA and a method for utilizing the carrier for conducting precise target DNA fixed-point substitution and mutation to prepare a corn germplasm resistant to the sulfonylurea herbicides. By means of the single-base editing carrier, high single-base mutation efficiency ofthe ALS1 and ALS2 genes can be achieved, the efficiency of fixed-point homozygosis substitution of the ALS1 and ALS2 genes and the efficiency of preparation of the corn resistant to the sulfonylureaherbicides are significantly improved, and the prepared corn resistant to the sulfonylurea herbicides can be tolerant to spraying treatment of a 300 mg/L chlorsulfuron herbicide, and has high breedingand cultivation value.(ZH) 本发明涉及植物基因工程技术领域，具体涉及一种高效创制磺酰脲类除草剂抗性玉米的方法及其应用。本发明提供特异性靶向玉米ALS1和ALS2基因的sgRNA、含有该sgRNA的CRISPR/Cas9基因组单碱基编辑载体，以及利用该载体进行精确目标DNA定点替换突变创制磺酰脲类除草剂抗性玉米种质的方法。本发明提供的单碱基编辑载体能够实现较高的ALS1和ALS2基因的单碱基突变效率，显著提高了ALS1和ALS2基因定点纯合替换以及磺酰脲类除草剂抗性玉米制备的效率，制备得到的磺酰脲类除草剂抗性玉米可耐受300mg/L的氯磺隆除草剂喷施处理，具有很高的育种和栽培价值。",,,,,,,,,,
CN355479434,202111572604,China,21.12.2021,114181943,15.03.2022,114181943,27.06.2023,B,CROP SCIENCE RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所,"C12N 15/113
					






C12N 15/84
					






C12N 15/11
					






C12Q 1/6895
					






A01H 4/00
					






A01H 5/00
					






View more classifications
							






C12N 15/113
					






C12N 15/84
					






C12N 15/11
					






C12Q 1/6895
					






A01H 4/00
					






A01H 5/00
					






A01H 5/02
					






A01H 6/46
					






View less classifications","C12N 15/113
					






C12N 9/22
					






C12N 15/8205
					






C12N 15/8218
					






C12N 15/8261
					






C12N 15/827
					






View more classifications
							






C12N 15/113
					






C12N 9/22
					






C12N 15/8205
					






C12N 15/8218
					






C12N 15/8261
					






C12N 15/827
					






C12N 15/8269
					






C12Q 1/6895
					






A01H 4/005
					






C12N 2310/20
					






C12Q 2600/13
					






C12Q 2600/156
					






View less classifications",XIE CHUANXIAO谢传晓LIU CHANGLIN刘昌林XING RUIXIA邢瑞霞LI XINHAI李新海ZHU JINJIE朱金洁QI XIANTAO祁显涛HUANG CHANGLING黄长玲LI LIANG黎亮,北京路浩知识产权代理有限公司 11002,,(EN) Method for creating early-maturing corn germplasm and application thereof(ZH) 一种创制早熟玉米种质的方法及其应用,"(EN) The invention relates to the field of plant genetic engineering, in particular to a method for creating early-maturing corn germplasm and application of the early-maturing corn germplasm. The invention firstly provides the sgRNA for creating the premature maize germplasm, and the sgRNA comprises the sgRNA of a specific target maize gene ZmCCT10, wherein the sequence of the sgRNA is shown as SEQ ID NO. 1. According to the sgRNA and CRISPR/Cas9 knockout vector provided by the invention, the targeting efficiency of the corn gene ZmCCT10 can be remarkably improved, the photoperiod sensitivity of corn is effectively reduced, and the flowering time of the corn is advanced, so that early-maturing corn germplasm can be quickly created.(ZH) 本发明涉及植物基因工程领域，具体涉及一种创制早熟玉米种质的方法及其应用。本发明首先提供了用于创制早熟玉米种质的sgRNA，其包括：序列如SEQ ID NO.1所示的特异性靶向玉米基因ZmCCT10的sgRNA。本发明所提供的sgRNA和CRISPR/Cas9敲除载体可以显著提高对玉米基因ZmCCT10的打靶效率，有效降低玉米的光周期敏感性，并提早玉米的开花时间，从而能够快速创制早熟玉米种质。",,,,,,,,,,
CN276091445,201910675956,China,25.07.2019,110373425,25.10.2019,110373425,29.06.2021,B,CHINA AGRICULTURAL UNIVERSITY中国农业大学,"C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/08
					






A01H 6/82
					








C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/08
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					








C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






View less classifications",FU DAQI傅达奇LUO YUNBO罗云波GAO YING高颖,北京纪凯知识产权代理有限公司 11245,,(EN) Application of NOR-like1 gene and protein encoded thereby in regulating postharvest water loss of tomato fruits(ZH) NOR-like1基因及其编码的蛋白质在调控番茄果实采后失水中的应用,(EN) The invention discloses application of NOR-like1 gene and a protein encoded thereby in regulating postharvest water loss of tomato fruits. The protein encoded by the NOR-like1 gene is a protein havingan amino acid sequence which is a sequence 3. The NOR-like1 gene in plants is mutated by means of CRISPR/Cas9 so as to obtain a NOR-like1 gene mutant; postharvest water loss rate of the fruits of themutant is nearly 4.6 times as high as that of wild types; analysis by toluidine blue staining shows that the cuticle layer of fruits of plants edited with the NOR-like1 gene has evident defects; theedited plants are applicable to fruit water loss models or cuticle development defect models. The results above show that NOR-like1 plays a part in regulating and controlling plant fruit water loss rate and cuticle development.(ZH) 本发明公开了NOR‑like1基因及其编码的蛋白质在调控番茄果实采后失水中的应用。本发明公开的NOR‑like1基因编码的蛋白质为氨基酸序列是序列3的蛋白质。本发明利用CRISPR/Cas9方法突变了植物中的NOR‑like1基因，得到了NOR‑like1基因突变体，该突变体的果实采后失水率是野生型的约4.6倍，通过甲苯胺蓝染色分析发现，NOR‑like1基因编辑的植物果实角质层存在明显缺陷，所得植物可以用于果实失水模型或角质层发育缺陷模型。以上结果说明NOR‑like1参与调控植物果实失水率及角质层发育。,,,,,,,,,,
CN306898735,202010546971,China,16.06.2020,111662928,15.09.2020,111662928,08.10.2021,B,"INSTITUTE OF BOTANY, THE CHINESE ACADEMY OF SCIENCES中国科学院植物研究所","C12N 15/84
					






C07K 14/415
					






C12N 15/29
					






C12N 5/10
					






A01H 5/00
					






A01H 6/46
					








C12N 15/84
					






C07K 14/415
					






C12N 15/29
					






C12N 5/10
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8218
					






C12N 15/8273
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/8273
					






View less classifications",WANG LEI王雷WEI HUA魏华WANG XILING王希岭,北京纪凯知识产权代理有限公司 11245,,(EN) Method for regulating and controlling salt tolerance of plants and salt-tolerant relevant protein(ZH) 调控植物耐盐性的方法及耐盐相关蛋白,"(EN) The invention discloses a method for regulating and controlling the salt tolerance of plants and a salt-tolerant relevant protein. The invention provides a method for regulating and controlling the salt tolerance of plants. The method comprises the step of regulating and controlling expression of a coding gene of the salt-tolerant relevant protein in a target plant, wherein the salt-tolerant relevant protein derived from rice, is namely as OsPRR73 and is derived from rice Nipponbare. According to the method, a mutant lack of functions of the OsPRR73 is obtained by virtue of CRISPR/Cas9, 180nMNaCl simulated salt stress treatment is carried out, the phenotype is observed, statistics of the survival rate after recovery treatment is carried out, and finally, positive regulation and control effects of the OsPRR73 in responding of the salt stress process of the rice are determined. The OsPRR73 can be taken as a salt-tolerant gene and can play an important role in salt resistance of the rice.(ZH) 本发明公开了一种调控植物耐盐性的方法及耐盐相关蛋白，本发明提供了一种培调控植物耐盐性的方法，包括调控目的植物中耐盐相关蛋白质的编码基因的表达，其中，所述耐盐相关蛋白质是来源于水稻的耐盐性相关蛋白，名称为OsPRR73，来源于水稻日本晴。本发明利用CRISPR/Cas9技术获得了OsPRR73功能缺失的突变体，进行180mM NaCl模拟盐胁迫处理，观察表型并统计恢复处理后的存活率，最终确定OsPRR73在响应水稻盐胁迫的过程中发挥正调控作用。本发明的OsPRR73可作为一个耐盐基因，在水稻抗盐性方面发挥重要作用。",,,,,,,,,,
CN329303397,201911325467,China,20.12.2019,113004381,22.06.2021,113004381,15.07.2022,B,CHINA AGRICULTURAL UNIVERSITY中国农业大学,"C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8273
					






C12N 15/8218
					








C07K 14/415
					






C12N 15/8273
					






C12N 15/8218
					






View less classifications",YANG SHUHUA杨淑华SHI YITING施怡婷LI ZHUOYANG李卓洋,北京路浩知识产权代理有限公司 11002,,(EN) Application of ZmbZIP68 protein and coding gene thereof in regulating and controlling low-temperature stress tolerance of corn(ZH) ZmbZIP68蛋白及其编码基因在调控玉米耐受低温胁迫中的应用,"(EN) The invention relates to the technical field of plant genetic engineering, in particular to application of ZmbZIP68 protein and a coding gene thereof in regulating and controlling low-temperature stress tolerance of corn. It is found that the corn ZmbZIP68 gene can negatively regulate the cold resistance of plants, and the cold resistance of the plants can be effectively improved by reducing the expression quantity of the ZmbZIP68 gene. The ZmbZIP68 gene homozygous knockout corn strain with excellent cold resistance is obtained by utilizing a CRISPR/Cas9 technology, the discovery of the cold resistance function of the ZmbZIP68 gene provides a new gene target and resource for cultivating cold-resistant plant varieties, and the application has important significance on research on a cold-resistant molecular mechanism of corn and has important significance on agricultural production.(ZH) 本发明涉及植物基因工程技术领域，具体涉及ZmbZIP68蛋白及其编码基因在调控玉米耐受低温胁迫中的应用。本发明发现玉米ZmbZIP68基因能够负调控植物抗寒性，通过降低ZmbZIP68基因的表达量，能够有效提高植物的抗寒性。本发明利用CRISPR/Cas9技术获得了具有优异抗寒性能的ZmbZIP68基因纯合敲除玉米株系，ZmbZIP68基因的抗寒功能的发现为培育耐冷植物品种提供了新的基因靶点和资源，对玉米的耐冷分子机制的研究具有重要意义，对农业生产具有重大意义。",,,,,,,,,,
CN193500733,201610670631,China,15.08.2016,106467909,01.03.2017,,,A,"INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY, CHINESE ACADEMY OF SCIENCES","C12N 9/10
					






C12N 15/54
					






C12N 15/82
					






A01H 5/00
					








C12N 9/10
					






C12N 15/54
					






C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






View more classifications
							






C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






C12N 15/66
					






View less classifications",CAIXIA GAOJUN LI,,,(EN) Method for obtaining glyphosate-resistant rice by site-specific substitution of nucleotide(ZH) 一种通过核苷酸定点替换获得抗草甘膦水稻的方法,"(EN) The invention discloses a method for obtaining glyphosate-resistant rice by site-specific substitution of nucleotide and a method capable of generating nucleotide site-specific substitution and fragment substitution. The method for obtaining a glyphosate-resistant plant comprises the following steps: substituting isoleucine for threonine at the eighth site of amino acid sequence in a conservative region of endogenous EPSPS protein of a target plant and substituting serine for proline at the twelfth site, and obtaining a plant, namely the glyphosate-resistant plant. The method of the invention is of great significance for cultivation of new species of herbicide-resistant plants. The invention also discloses a CRISPR-mediated NHEJ approach to substitution of a region between two gRNA sites through design of the two gRNA sites so as to realize site-specific mutagenesis of target nucleotide and site-specific substitution of fragments.(ZH) 本发明公开了一种通过核苷酸定点替换获得抗草甘膦水稻的方法以及一种可以产生核苷酸定点替换以及片段替换的方法。本发明所提供的获得抗草甘膦植物的方法包括如下步骤：仅将目的植物内源EPSPS蛋白的保守区氨基酸序列的第8位的苏氨酸替换为异亮氨酸，第12位的脯氨酸替换为丝氨酸，所得植物即为抗草甘膦植物；本发明对于培育抗除草剂植物新品种具有重要意义。本发明还公开了一种利用CRISPR介导的NHEJ途径通过设计两个gRNA的位点对两个gRNA位点之间的区域进行替换，从而实现目的核苷酸的定点突变以及片段的定点替换。",2015105009308 14.08.2015 CN,"AU2016309392

KR1020180031765

EP3334832

BR112018002026

EA201890492

US20190062779

JP2018527920

KR1020200078685

WO/2017/028768

AR105713

CA2994883

UAa201802118This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,,,,
US298713127,16746924,United States of America,19.01.2020,20200216853,09.07.2020,,,A1,HUAZHONG AGRICULTURAL UNIVERSITY,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 2310/20
					






C12N 15/8222
					








C12N 2310/20
					






C12N 15/8222
					






View less classifications",YUBING HE,,,(EN) METHOD FOR RAPIDLY AND EFFICIENTLY CREATING DIRECTED GENE MUTATED NON-TRANSGENIC PLANTS AND ITS APPLICATIONS,"(EN) 
The invention relates to a plant genetic engineering field, and more particularly to a method for creating directed gene mutated non-transgenic plants. The method including performing a transgenic method onto directed gene mutated plants by introducing exogenous nucleic acid molecules; wherein the transgenic method includes introducing constructs into the directed gene mutated plants, each of the constructs contains a first nucleic acid molecule and a second nucleic acid molecule, wherein the first nucleic acid molecule serves as a gene editing element, and the second nucleic acid molecule serves as a lethal or stop development element, and can be used in a plant gene editing system such as CRISPR/CAS9. It can actively and automatically eliminate plant transgenic fragments, leaving enough time for gene editing elements to perform directed gene editing before removing transgenic fragments, providing a simple and effective method for gene editing without transgenic plants.",201810464473.5 16.05.2018 CN,"CN109593776

WO/2019/219046",,,,,,,,
CN427204510,202311847179,China,28.12.2023,117778456,29.03.2024,,,A,"HUBEI UNIVERSITY湖北大学OIL CROPS RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院油料作物研究所","C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 6/20
					






A01H 5/00
					








C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 6/20
					






A01H 5/00
					






View less classifications",,DU XUEZHU杜雪竹DUN XIAOLING顿小玲HUANG RONG黄绒SHENG FENG盛锋HE DU何督ZHANG YAN张岩LUO QIAN罗倩,,,(EN) Extension factor BnELP2 gene for regulating and controlling sclerotinia rot resistance of brassica napus and application of extension factor BnELP2 gene(ZH) 调控甘蓝型油菜菌核病抗性的延伸因子BnELP2基因及应用,"(EN) The invention belongs to the technical field of plant genetic engineering, and particularly relates to an elongation factor subunit BnELP2 gene for regulating and controlling sclerotiniose resistance of rape and an application of the elongation factor subunit BnELP2 gene. The elongation factor subunit BnELP2 gene expressed under induction of sclerotinia sclerotiorum is screened, and the nucleotide sequence of the elongation factor subunit BnELP2 gene is as shown in SEQ ID NO: 1; the sequence of the protein coded by the gene is as shown in SEQ ID NO: 2. By means of agrobacterium tumefaciens-mediated transformation, a BnELP2 over-expression transgenic strain and a CRISPR/Cas9 mutant strain are obtained. Sclerotinia sclerotiorum inoculation identification on a transgenic material finds that the sclerotinia rot resistance of a BnELP2 over-expression strain is enhanced, and a mutant strain is more susceptible to sclerotinia sclerotiorum, so that the BnELP2 is a positive regulation factor of the sclerotinia rot resistance of the rape, plays a positive regulation role in the sclerotinia rot resistance of the rape, and can remarkably improve the sclerotinia rot resistance of the rape by over-expression of the gene.(ZH) 本发明属于植物基因工程技术领域，具体涉及调控油菜对菌核病抗性的延伸因子亚基BnELP2基因及应用。筛选到一种受菌核病菌诱导表达的延伸因子亚基BnELP2基因，其核苷酸序列如SEQ ID NO:1所示；该基因编码的蛋白质序列如SEQ ID NO:2所示。利用农杆菌介导的转化，获得BnELP2超量表达转基因株系和CRISPR/Cas9突变株系。对转基因材料进行核盘菌接种鉴定发现，BnELP2超量表达株系对菌核病抗性增强，而突变株系更感菌核病菌，表明BnELP2是油菜对菌核病抗性的正调控因子，在油菜菌核病抗性中起正向调控作用，超量表达该基因，能显著提高油菜对菌核病的抗性。",,,,,,,,,,
CN368374255,202210380910,China,12.04.2022,114672513,28.06.2022,114672513,02.04.2024,B,MODERN AGRICULTURAL RESEARCH INSTITUTE OF BEIJING UNIVERSITY北京大学现代农业研究院,"C12N 15/84
					






C12N 15/67
					






C12N 15/55
					






C12N 15/29
					






C12N 15/113
					






A01H 5/00
					






View more classifications
							






C12N 15/84
					






C12N 15/67
					






C12N 15/55
					






C12N 15/29
					






C12N 15/113
					






A01H 5/00
					






A01H 6/14
					






A01H 6/82
					






View less classifications","C12N 15/8218
					






C12N 15/8216
					






C12N 15/8205
					






C12N 9/22
					






C07K 14/415
					








C12N 15/8218
					






C12N 15/8216
					






C12N 15/8205
					






C12N 9/22
					






C07K 14/415
					






View less classifications",ZHANG HUAWEI张华伟PAN WENBO潘文波,北京康信知识产权代理有限责任公司 11240,,(EN) Gene editing system and application thereof(ZH) 一种基因编辑系统及其应用,"(EN) The invention provides a gene editing system and application thereof. Wherein the gene editing system comprises a gene editing element and a modified intron, and the modified intron is an intron containing multiple cistron tRNA-gRNA; enhancing the expression of the gene editing element by using the modified intron; the gene editing element comprises a Cas effect protein and a CRISPR repetitive sequence; the CRISPR (clustered regularly interspaced short palindromic repeats) repetitive sequence is formed by processing multiple cistronic tRNA-gRNA. The plant gene editing system solves the problem that a high-efficiency gene editing system is lacked in plants in the prior art, and is suitable for the field of plant gene editing.(ZH) 本发明提供了一种基因编辑系统及其应用。其中，基因编辑系统包括基因编辑元件和改造内含子，改造内含子为包含多顺反子tRNA‑gRNA的内含子；利用改造内含子增强基因编辑元件的表达；基因编辑元件包括Cas效应蛋白和CRISPR重复序列；CRISPR重复序列由多顺反子tRNA‑gRNA加工而成。解决了现有技术中在植物中缺少高效率的基因编辑系统的问题，适用于植物基因编辑领域。",,,,,,,,,,
CN321262033,202011435916,China,10.12.2020,112522299,19.03.2021,,,A,ZHEJIANG WANLI UNIVERSITY浙江万里学院NINGBO ACADEMY OF AGRICULTURAL SCIENCE宁波市农业科学研究院ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES浙江省农业科学院,"C12N 15/82
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					






C12N 15/113
					








C12N 15/82
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					






C12N 15/113
					






View less classifications","C07K 14/415
					






C12N 15/113
					






C12N 15/8261
					






C12N 2310/20
					








C07K 14/415
					






C12N 15/113
					






C12N 15/8261
					






C12N 2310/20
					






View less classifications",TAN XIAOJING谭晓菁ZHENG ERSONG郑二松YAN CHENGQI严成其WANG XUMING王栩鸣WANG ZHONGHUA王忠华,杭州知学知识产权代理事务所(普通合伙) 33356,,(EN) Method for obtaining rice with increased tillering by utilizing OsTNC1 gene mutation(ZH) 一种利用OsTNC1基因突变获得分蘖增加的水稻的方法,"(EN) The invention discloses a method for obtaining rice (oryza sativa) with increased tillering by utilizing OsTNC1 gene mutation. The method is essentially in that a protein for controlling the tilleringquantity of the rice is obtained through gene editing, wherein the protein is derived from Oryza sativa var.Ishikari-shiroke and is named as OsTNC1. Specifically, a CRISPR/Cas9 gene editing technology is utilized to edit OsTNC1 so as to obtain plants with different gene mutations, and results show that the tillering number of the gene mutation plants is increased compared with that of control wild type plants. In addition, the relationship between different mutation points and the tillering number of the plant is explained, the editing efficiency of the sgRNA provided by the experiment is relatively high, and the application prospect is good.(ZH) 本发明公开了一种利用OsTNC1基因突变获得分蘖增加的水稻的方法，实质是通过基因编辑控制了水稻分蘖数量的蛋白质，该蛋白来源于稻属水稻石狩白毛(Oryza sativa var.Ishikari‑shiroke)，名称为OsTNC1。具体是利用CRISPR/Cas9基因编辑技术对OsTNC1进行编辑从而得到不同基因突变的植株，结果表明基因突变植株相比于对照野生型植株分蘖数量增多。另外本发明阐释了不同突变点与植株分蘖数量之间的关系，实验提供的sgRNA编辑效率较高，有良好的应用前景。",,,,,,,,,,
US224376938,15575167,United States of America,19.05.2016,20180223295,09.08.2018,11492630,08.11.2022,B2,KWS SAAT SE & CO. KGAA,"C12N 15/82
					






C12N 15/113
					






A01H 5/04
					






A01H 5/12
					








C12N 15/82
					






C12N 15/113
					






A01H 5/04
					






A01H 5/12
					






View less classifications","A01H 5/04
					






C12N 15/8213
					






A01H 5/12
					






C12N 15/113
					






C12N 15/8201
					






C12N 15/8203
					






View more classifications
							






A01H 5/04
					






C12N 15/8213
					






A01H 5/12
					






C12N 15/113
					






C12N 15/8201
					






C12N 15/8203
					






C12N 15/8205
					






C12N 15/8207
					






C12N 2310/20
					






View less classifications",Hinrich HarlingSusana Martin-OrtigosaMarkus NiessenCorinna StreitnerNadine SchumannErik Jongedijk,Troutman Pepper Hamilton Sanders LLP,,(EN) Methods and hybrids for targeted nucleic acid editing in plants using CRISPR/Cas systems,"(EN) 
The present invention relates to methods and hybrids for the targeted modification of a nucleic acid-target region in a plant target structure using CRISPR/Cas systems. The invention specifically relates to methods and hybrids for directly obtaining a plant or plant material which comprises an editing of a nucleic acid introduced in a targeted manner into a meristematic cell. The hybrids can be introduced in a transient and/or stable manner. The invention also relates to novel plant-optimized introduction strategies. The invention further relates to a method for carrying out an in vitro screening assay in order to first check the suitable gRNA candidates in vitro with respect to their efficiency.",102015006335 19.05.2015 DE102015014252 05.11.2015 DE,"EP3095870

AU2016265197

CA2989368

EP3298148

BR112017024754

CN107849581

EA201792542

WO/2016/184955

DK3298148

ES2953919

UAa201712091This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20230242926",,,,,,,,
