Application Id,Application Number,Office,Application Date_page,Publication Number,Publication Date,Grant Number,Grant Date,Publication Kind,Applicants,IPC_page,CPC,Inventors,Agents,Title_page,Abstract,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Publication Language,Filing Language,Designated States,Chapter 2 Demand Filed,FI,F-term,Address Picture,International Application Number,Link,Application Date_list,Country,Title_list,IPC_list,latitude,longitude,city_name,country_name,state_name,applicant_city_name,applicant_state_name,applicant_country_name,crop
CN395087724,202211054333,China,31.08.2022,115850414,28.03.2023,,,A,Shandong Agricultural University山东农业大学,"C07K 14/415
					






C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






C12N 15/11
					






View more classifications
							






C07K 14/415
					






C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






C12N 15/11
					






C12Q 1/6895
					






A01H 1/00
					






View less classifications",,Wu Jiajie吴佳洁Liu Xiaomei刘小梅Wang Liwen王莉雯Cao Shubo曹书博Kou Hongyun寇红云Lyu Bo吕波Yan Baiqiang闫百蔷Ni Fei倪飞Fu Daolin付道林,济南誉丰专利代理事务所(普通合伙企业) 37240,(EN) Wheat powdery mildew resistance gene PmD479 and application thereof(ZH) 小麦抗白粉病基因PmD479及其应用,"(EN) The invention discloses a wheat powdery mildew resistance gene PmD479 and application thereof, and belongs to the technical field of molecular genetics. According to the invention, a new gene PmD479 is separated from wheat ancestors, i.e., Triticum tubers ssp.dicopeptides, the gene function is confirmed through CRISPR/Cas9 gene editing and wheat genetic transformation, the gene is found to be completely linked with the powdery mildew resistance phenotype of the wild triticum tubers DIC479, and the mutation of the gene can cause the loss of the powdery mildew resistance of the wild triticum tubers DIC479. According to the invention, powdery mildew resistant gene resources are enriched, and the PmD479 gene is applied to disease-resistant breeding of wheat plants, so that the cultivation of powdery mildew resistant wheat varieties or germplasm materials can be promoted.(ZH) 本发明公开了一种小麦抗白粉病基因PmD479及其应用，属于分子遗传学技术领域。本发明从小麦祖先野生二粒小麦(Triticum turgidum ssp.dicoccoides)中分离的新基因PmD479，并通过CRISPR/Cas9基因编辑及小麦遗传转化确认了基因功能，本发明发现该基因与野生二粒小麦DIC479抗白粉病表型完全连锁，且该基因的突变会导致野生二粒小麦DIC479对白粉病的抗性丧失。本发明丰富了抗白粉病基因资源，将PmD479基因应用于麦族植物抗病育种，可促进抗白粉病小麦品种或种质材料的培育。",2021110307798 03.09.2021 CN,,,,,,,,,,,,,,,,,36.1939376,117.1193702,,,,Tai An Shi,Shan Dong Sheng,China,Wheat
AR413639981,P210100759,Argentina,26.03.2021,126301,04.10.2023,,,A1,Pairwise Plants Services Inc,"A01H 1/00
					






A01H 6/46
					






C07K 14/415
					






C12N 9/22
					






C12N 15/113
					






C12N 15/29
					






View more classifications
							






A01H 1/00
					






A01H 6/46
					






C07K 14/415
					






C12N 9/22
					






C12N 15/113
					






C12N 15/29
					






C12N 15/82
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






Y02A 40/146
					






C12N 2310/20
					






A01H 6/4684
					






View more classifications
							






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






Y02A 40/146
					






C12N 2310/20
					






A01H 6/4684
					






C12N 9/22
					






C12N 15/102
					






C12N 15/113
					






View less classifications",Anthony Nicholastao Peizhao Xucasi Schienebeckzhi-Ming Ding,,(ES) MÉTODOS PARA CONTROLAR EL TAMAÑO DEL MERISTEMA PARA EL MEJORAMIENTO DE CULTIVOS,"(ES) La presente invención se refiere a composiciones y métodos para modificar los genes FACIATED EAR2 (FEA2) en plantas, opcionalmente para modificar el tamaño del meristemo. La invención además se refiere a plantas que tienen un mayor número de hileras de granos producidas usando los métodos y composiciones de la invención. Reivindicación 12: Una célula de planta que comprende un sistema de edición, el sistema de edición comprende: (a) una proteína efectora CRISPR-Cas; y (b) un ácido nucleico guía que comprende una secuencia espaciadora con complementariedad con un gen diana endógeno que codifica una proteína FEA2. Reivindicación 58: Un sistema de edición de genes que comprende una proteína efectora CRISPR-Cas asociada con un ácido nucleico guía, en donde el ácido nucleico guía comprende una secuencia espaciadora que se une a un gen FEA2 endógeno.","63/000,206 26.03.2020 US","CA3176888

WO/2021/195458

UY0001039145

BR112022019158

CN115605500

EP4126915

MX2022011761

BR112022019158This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN202247055840",,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=AR413639981,26.03.2021,Argentina,MÉTODOS PARA CONTROLAR EL TAMAÑO DEL MERISTEMA PARA EL MEJORAMIENTO DE CULTIVOS,A01H 1/00; A01H 6/46; C07K 14/415; C12N 9/22; C12N 15/113; C12N 15/29; C12N 15/82,35.9900355,-78.8898264,,,,Durham,North Carolina,United States,Crop plants
CN400924846,202211063341,China,01.09.2022,116179565,30.05.2023,,,A,Hunan Agricultural University湖南农业大学,"C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/829
					








C07K 14/415
					






C12N 15/829
					






View less classifications",Ye Nenghui叶能辉Li Haoxuan李浩轩Zhang Jianhua张建华,重庆立信达知识产权代理有限公司 50286,(EN) Method for creating temperature-sensitive female sterile rice material(ZH) 一种温敏雌性不育水稻材料的创制方法,"(EN) The invention discloses a creation method of a temperature-sensitive female sterile rice material, and relates to the technical field of germplasm resource creation, and the creation method comprises the following steps: S1, a map-based cloning technology is utilized to locate and clone a mutant gene of temperature-sensitive female sterile rice, the mutant gene is a rice AGO7 gene, and the mutation position of the rice AGO7 gene is located in a Link2 structural domain of AGO7 protein; s2, designing a target site in a Link2 structural domain of the gene by utilizing a CRISPR (clustered regularly interspaced short palindromic repeats) gene editing technology; s3, constructing a vector by using the target sequence of the target site, transforming the vector into genes of rice varieties minghui 63 and Nipponbare rice, and editing the genes of the rice varieties minghui 63 and Nipponbare rice; and S4, screening temperature-sensitive female sterile plants, namely the created temperature-sensitive female sterile rice material. The creation method of the temperature-sensitive female sterile rice material also has important scientific significance on rice reproductive development and female sterile mechanism research, and also has very important practical significance in promoting the development of a rice hybrid seed production technology.(ZH) 本发明公开了一种温敏雌性不育水稻材料的创制方法，涉及种质资源创制技术领域，包括以下步骤：S1、利用图位克隆技术，定位克隆温敏雌性不育水稻的突变基因，突变基因为水稻AGO7基因，水稻AGO7基因的突变位置处于AGO7蛋白的Link2结构域；S2、利用CRISPR基因编辑技术，该基因的Link2结构域设计靶位点；S3、利用靶位点的靶序列构建载体，将载体转化至水稻品种明恢63和日本晴水稻的基因中，对其基因进行编辑；S4、筛选温敏雌性不育株，即为创制的温敏雌性不育水稻材料。本发明该温敏雌性不育水稻材料的创制方法对水稻生殖发育、雌性不育机理研究也具有重要的科学意义，同时在推动水稻杂交制种技术的发展方面也具有十分重要的实践意义。",,,,,,,,,,,,,,,,,,28.180967,113.084828,,,,Chang Sha Shi,Hu Nan Sheng,China,Rice
AR425398810,P220103094,Argentina,10.11.2022,127636,14.02.2024,,,A1,Syngenta Crop Protection Ag,"C07K 14/415
					






C12N 9/10
					






C12N 15/29
					






C12N 15/82
					






C12N 5/04
					






C12N 15/63
					






View more classifications
							






C07K 14/415
					






C12N 9/10
					






C12N 15/29
					






C12N 15/82
					






C12N 5/04
					






C12N 15/63
					






A01H 5/00
					






View less classifications","C12N 9/1085
					






C12N 15/8274
					






C12Y 205/01
					








C12N 9/1085
					






C12N 15/8274
					






C12Y 205/01
					






View less classifications",Richard Paul Dalerachael Elizabeth Blainmarta Andreia Horta Simoesmichael Phillip Langford,,(ES) RESISTENCIA A HERBICIDAS,"(ES) Reivindicación 1: Una enzima homogentisato-solanesiltransferasa (HST) o un fragmento activo de la misma, que comprende el motivo de secuencia de aminoácidos: F[V/M]TX[F/Y] (SEQ ID Nº 1), en donde X es cualquier aminoácido; y en donde uno o más de los restos de aminoácidos del motivo están mutados. Reivindicación 13: Un ácido nucleico aislado que comprende una secuencia de nucleótidos que codifica una enzima homogentisato-solanesiltransferasa (HST) o un fragmento activo de la misma, como se establece en cualquiera de las reivindicaciones 1 a 12. Reivindicación 14: Un vector de expresión que comprende un ácido nucleico de la reivindicación 13. Reivindicación 18: Una planta, una parte de una planta o una célula vegetal como se reivindica en la reivindicación 16 o la reivindicación 17, en donde la planta, la parte o la célula tiene una mayor resistencia a un herbicida inhibidor de la HST en comparación con una planta, una parte de una planta o una célula vegetal de tipo silvestre o de control correspondiente; opcionalmente en donde la planta, la parte de la planta o la célula vegetal es al menos 10 veces más resistente a un herbicida inhibidor de la HST que una planta, una parte o una célula de tipo silvestre o de control correspondiente. Reivindicación 22: Un método para conferir a una planta, una parte de una planta o una célula vegetal una mayor resistencia a herbicidas inhibidores de la HST en comparación con una planta, una parte o una célula de control o de tipo silvestre correspondiente, que comprende la expresión en la planta, la parte o la célula de una enzima HST de acuerdo con cualquiera de las reivindicaciones 1 a 12; preferentemente en donde la planta, la parte o la célula es como se establece en cualquiera de las reivindicaciones 16 a 18. Reivindicación 25: Un método como se reivindica en la reivindicación 24, en donde la etapa (b) comprende la edición de la secuencia de ácido nucleico endógeno de la planta que codifica una enzima HST; preferentemente en donde el sistema de edición de genes comprende un sistema CRISPR-Cas.",2116307.6 12.11.2021 GB,"WO/2023/083972

CA3237293

CN118265781

RU2024115422

ID2025/00231

IN202417035882This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

CL2024001403

PH12024551113This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

MX2024005752",,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=AR425398810,10.11.2022,Argentina,RESISTENCIA A HERBICIDAS,C07K 14/415; C12N 9/10; C12N 15/29; C12N 15/82; C12N 5/04; C12N 15/63; A01H 5/00,47.5522214,7.9640805,,,,Stein,Aargau,Switzerland,Crop plants
WO2020263782,PCT/US2020/039063,,,WO/2020/263782,30.12.2020,,,,"NORTH CAROLINA STATE UNIVERSITY [US]/[US]
BASF PLANT SCIENCE COMPANY GMBH [DE]/[DE]","A61K 31/713
					

2006.1
					



C12N 9/22
					

2006.1
					



C12N 15/11
					

2006.1
					



C12N 15/113
					

2010.1
					





A61K 31/713
					

2006.1
					



C12N 9/22
					

2006.1
					



C12N 15/11
					

2006.1
					



C12N 15/113
					

2010.1
					



View less classifications","C12N 15/113
					






C12N 15/8206
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/88
					






C12N 15/90
					






View more classifications
							






C12N 15/113
					






C12N 15/8206
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/88
					






C12N 15/90
					






C12N 2310/20
					






C12N 9/22
					






View less classifications","BARRANGOU, Rodolphe
NETHERY, Matthew A.
HIDALGO-CANTABRANA, Claudio
BERNASCONI, Paul
RODRIGUEZ, Marianela
LAMSON, Melissa Ann
REINHOLD, Frank
DE VLEESSCHAUWER, David","Bonnen, Alice M.",(EN) METHODS AND COMPOSITIONS FOR MODIFYING NUCLEIC ACIDS AND FOR KILLING CELLS(FR) MÉTHODES ET COMPOSITIONS PERMETTANT DE MODIFIER DES ACIDES NUCLÉIQUES ET DE TUER DES CELLULES,"(EN) The present invention relates generally to methods of modifying the genome of an organism comprising contacting genome of the organism with a composition comprising a CRISPR-Cas nucleic acid and a polyalkyleneimine-alkoxylene polymer such as a polyethyleneimine (PEI)-polyethylene oxide (PEO) polymer. The present invention also relates to methods of using the compositions of the invention to kill cells.(FR) La présente invention concerne de manière générale des méthodes de modification du génome d'un organisme, comprenant la mise en contact du génome de l'organisme avec une composition comprenant un acide nucléique CRISPR-Cas et un polymère de polyalkylèneimine-alcoxylène tel qu'un polymère de polyéthylèneimine (PEI)-oxyde de polyéthylène (PEO). La présente invention concerne en outre des méthodes d'utilisation des composition de l'invention pour tuer des cellules.","62/865,64424.06.2019US62/865,65524.06.2019US",,PCT/US2020/039063,23.06.2020,English (en),English (en),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARgAAABBCAIAAACFGixQAAAEGElEQVR42u2d0ZaDIAxE+/8/zT7tOd0uhpkEFO2dp65rFSmXBAzk1RBCZb2oAoQACaFtQHr9qvPvNw2PB9d5P0c8aJ0QlHzHSv+ruQ+OLrZIcRP/AOajTei//RGT01vqzm3RqjF0e5DE33suSEe27v1D3JcHBYgN6dHF4+NB/6KXsPuA738enbyz4QWktSB12018qY+mk3MU4+bY/SyeIFpvEaQuw906PPoWuh9Iw29ZIA0dy1yRxIsffVaACY4nLJJSA/iHzwEp0Y6HXXt3ID4LpPjis0Cqu3YiSPqkBdoXpMQQZQiS3ozmunbTQaq4djmLhO43azfs9S2vJmjTaX9myINrkURDmhsjWRMYwZ+05otBCjyE4TTX/0aWmFI7cooqA4P4cRIWSb+g4toFFS6CpNwIXWCRUM7GIgRIgIQACZAQICEESAghQEJoQ5D0IQSDDfRwkCqRJsOFTLyMR18B0vCtXw4kLBL6ateu8kZfB8mNpWgsFkD3BcmKPdNBCqLXrLsgtClISgClGPWcWA2RXuGD0EYgiQGU9eUDgIQeC5K+HgmQEOqDZC2buWSMxE+FdgcpWF8UDJ/On7VD6DaTDQghQEIIkBACJIQACSEESAjdEaT6ZPTl09kXFoCp/MeC5O58W09nlFipUdzqOv316RvHTX/LbO09GDxU0AbYPU8FaSkG9wVpxUvhuc1RXEs23ASzyXuaw0wGpGGcgXWClebof5ESZYiDNqbnWWq9KKc411PT1n0lyLdIIMpxIUhWtiI3s5DVzwUg5W6xOs+SWDlxYRJWVARJT5rmdnmMkcY938TkEWlnctYtVudZagsyHeVc7qAHEZOmsbwyY5EC10JP0bMOpOYn+VsBkhvjmwapnra5uMaMdGYnuXa5TvrWIBXvuKK7SWQ0A6RrQBoOgXKDKJdMfVxUB6kV8iy5YySr/i3LGXdzbmI1QDJA6jpvcUXnZu2mgNS0JUyWGxY/nVgt7qxdXHtN2xtDnKCzZgjJrqmCdN7N1r+hQuiZIOEYIECaxhIUIUBCCAESQoCEECBFo6ZbVhYjPRSANHz/HZCQa1jWK45K4PNp8K9jDHSfDFLxZ3Y3dv1mkNATQIqj7odrM7vWppmbsyq3SJdENIzx2/0gqOf9kXPJoI4CHYaPifYCyQ1vSSc7ErcR18MrhzF4w2KI+48rYXj1xVpWfD3a0SJZIFnXqY+RiiWZ4mEOKXVjQ9MuLiA9B6TEWh13PkO8RRDNqQdTJwJqdZBmRfTi3T3cIonu2QpTM2VhdqIdWyDVSca12wskfY2NPjJptZRK+ioDtyRzx0hFi2R1XnH9Y5EuBilwD8T9T6xt0xJjpOBIsSTFoVpwUBkvNWcfkkrFopNAQggBEkKAhBAgIYQACaE5+gHNx/fLYyYDiwAAAABJRU5ErkJggg==",,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020263782,23.06.2020,World Intellectual Property Organization,METHODS AND COMPOSITIONS FOR MODIFYING NUCLEIC ACIDS AND FOR KILLING CELLS,A61K 31/713; C12N 9/22; C12N 15/11; C12N 15/113,35.78517011,-78.68046701,Raleigh,United States,North Carolina,,,,Crop plants
CN107362034,201410209122,China,16.05.2014,104004782,27.08.2014,104004782,08.06.2016,B,安徽省农业科学院水稻研究所,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications",,秦瑞英杨剑波魏鹏程李莉马卉李浩杨亚春倪金龙倪大虎宋丰顺陆徐忠,北京律谱知识产权代理事务所(普通合伙) 11457,(EN) Breeding method for prolongation of rice fertility stage(ZH) 一种延长水稻生育期的育种方法,"(EN) The invention relates to a breeding method for prolongation of rice fertility stage, and the breeding method comprises the following steps: selecting a target fragment in a rice fertility stage determining gene Ehd3 exon region and constructing a plant CRISPR / Cas9 targeting recombinant vector, introducing into rice cells for regeneration to sprout; using an expression frame in the vector to realize shearing of Ehd3 exon region DNA in the rice cells so as to cause self healing of the rice cells; sequencing regeneration strain genome target fragments to obtain an afunction-mutational strain carrying two equipotential Ehd3 genes, and confirming the prolongation of the regeneration plant fertility stage by phenotypic identification. Experiments show that the method can quickly obtain fertility stage prolonged rice materials.(ZH) 
本发明涉及一种延长水稻生育期的育种方法，包含以下步骤：在水稻生育期决定基因Ehd3外显子区选取靶标片段并构建植物CRISPR/Cas9打靶重组载体，导入水稻细胞并再生成苗；利用载体中的表达框实现对水稻细胞中Ehd3外显子区DNA的剪切，从而引起水稻细胞的自我修复；通过对再生株系基因组目标片段的测序，获取携带两个等位Ehd3基因同时发生功能缺失突变的株系，经过表型鉴定，确认再生植株生育期的延长。实验表明，本方法可快速获得生育期延长的水稻材料。",,,,,,,,,,,,,,,,,,31.887698,117.246045,,,,Hefei,Anhui,China,Rice
CN368376158,202210478405,China,05.05.2022,114672514,28.06.2022,,,A,Henan Normal University河南师范大学,"C12N 15/84
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					








C12N 15/84
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8273
					






C07K 14/415
					








C12N 15/8273
					






C07K 14/415
					






View less classifications",Liang Weihong梁卫红Zhu Minglan朱明兰Wang Junjie王俊杰Bi Yifan毕一凡Qi Wang戚旺Huang Junjun黄俊骏Liu Xiaofei刘肖飞Zhang Yushun张禹舜Wang Huahua王华华,新乡市平原智汇知识产权代理事务所(普通合伙) 41139,(EN) Breeding method of salt-tolerant rice variety(ZH) 一种耐盐水稻品种的育种方法,"(EN) The invention discloses a breeding method of a salt-tolerant rice variety, which comprises the following steps: by taking yellow rice Xinfeng No.2 as a receptor material, directionally editing a rice OsSPL10 gene by using a CRISPR/Cas9 technology, constructing an OsSPL10 gene knockout recombinant vector, transforming the receptor material Xinfeng No.2 rice embryogenic callus by using an agrobacterium-mediated method, screening and carrying out molecular identification to obtain a T0-generation knockout homozygous rice plant, and breeding the salt-tolerant rice variety by using the T0-generation knockout homozygous rice plant. And the salt tolerance characteristic is detected in the seedling stage, and the result shows that after the obtained knockout homozygous rice harvest seeds, the germinated rice seeds have better salt tolerance.(ZH) 本发明公开了一种耐盐水稻品种的育种方法，该方法以沿黄水稻新丰2号为受体材料，利用CRISPR/Cas9技术定向编辑水稻OsSPL10基因，构建OsSPL10基因敲除重组载体，以农杆菌介导法转化受体材料新丰2号水稻胚性愈伤，经筛选和分子鉴定后，获得T0代敲除纯合水稻植株，并在幼苗期检测其耐盐特性，结果表明获得的敲除纯合水稻收获种子后，萌发水稻种子具有较好的耐盐性。",,,,,,,,,,,,,,,,,,35.3268663,113.9159103,,,,Xin Xiang Shi,He Nan Sheng,China,Rice
CN333958093,202110509271.X,China,10.05.2021,113234731,10.08.2021,113234731,25.03.2022,B,Shandong Agricultural University山东农业大学,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/00
					






A01H 6/54
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/00
					






A01H 6/54
					






View less classifications","C07K 14/415
					






C12N 15/8273
					








C07K 14/415
					






C12N 15/8273
					






View less classifications",Zhang Dajian张大健Wang Chaofan王超凡Zhuang Yongbin庄永斌,北京华际知识产权代理有限公司 11676,(EN) GmARF16 gene for coding soybean ARF transcription factor and application of GmARF16 gene(ZH) 编码大豆ARF转录因子的GmARF16基因及应用,"(EN) The invention discloses a GmARF16 gene for coding a soybean ARF transcription factor and application of the GmARF16 gene. The nucleotide sequence of the GmARF16 gene is shown as SEQ ID NO. 1. The gene can influence the growth and development of root nodules. A CRISPR/Cas carrier is utilized, a chimera transgenic plant is rapidly obtained through agrobacterium tumefaciens-mediated soybean hairy root genetic transformation, the GmARF16 gene is successfully mutated, salt resistance analysis is performed on the chimera transgenic plant, and the result shows that the mutated GmARF16 gene can improve the salt resistance of soybeans and inhibit generation of soybean root nodules.(ZH) 本发明公开了编码大豆ARF转录因子的GmARF16基因及应用，所述GmARF16基因的核苷酸序列如SEQ ID NO.1所示。所述基因能够影响根瘤的生长发育。并且本发明利用CRISPR/Cas载体，通过农杆菌介导的大豆毛状根遗传转化，快速获得嵌合体转基因植株，成功将GmARF16基因突变，对嵌合体转基因植株进行了抗盐性分析，结果表明突变GmARF16基因能够提高大豆的抗盐性和抑制大豆根瘤产生。",,,,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=CN333958093,10.05.2021,China,GmARF16 gene for coding soybean ARF transcription factor and application of GmARF16 gene,C12N 15/29; C07K 14/415; C12N 15/82; A01H 5/00; A01H 6/54,36.1939376,117.1193702,,,,Tai An Shi,Shan Dong Sheng,China,Soybeans
CN334791167,202110110257,China,27.01.2021,113249387,13.08.2021,113249387,12.07.2022,B,Henan University Of Science And Technology河南科技大学,"C12N 15/29
					






C12N 15/82
					






C12N 15/113
					






C07K 14/415
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C12N 15/82
					






C12N 15/113
					






C07K 14/415
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8273
					






C12N 2310/20
					








C07K 14/415
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8273
					






C12N 2310/20
					






View less classifications",Xu Huawei胥华伟Wu Shiyang吴世洋Yang Xiaoyi杨晓祎Zhang Yanwen张艳雯,洛阳公信知识产权事务所(普通合伙) 41120,(EN) Application of OsPIN9 gene in regulation of cold stress resistance of rice(ZH) OsPIN9基因在调控水稻抗冷胁迫中的应用,"(EN) The invention relates to application of an OsPIN9 gene in regulation of cold stress resistance of rice, and belongs to the technical field of plant genetic engineering. A CRISPR/Cas9 gene editing knockout system is adopted to conduct fixed-point editing on the OsPIN9 gene, research finds that a positive homozygous plant obtained after OsPIN9 knockout shows the characteristic of low-temperature resistance, and basis and possibility are provided for cultivating a transgenic rice variety with strong cold resistance and improving the cold resistance of the rice.(ZH) 本发明涉及OsPIN9基因在调控水稻抗冷胁迫中的应用，属于植物基因工程技术领域，本发明采用CRISPR/Cas9基因编辑敲除系统，对OsPIN9基因进行定点编辑，研究发现，OsPIN9敲除后获得的阳性纯合植株，表现出抗低温的特性，为培育强抗冷性转基因水稻品种、提高水稻抗冷性方面提供了依据和可能。",,,,,,,,,,,,,,,,,,34.603664,112.422678,,,,Luo Yang Shi,He Nan Sheng,China,Rice
CN362120710,202210011581,China,06.01.2022,114480485,13.05.2022,114480485,18.07.2023,B,Nanjing Agricultural University,"C12N 15/84
					






C12N 15/52
					






A01H 5/00
					






A01H 5/04
					






A01H 6/46
					








C12N 15/84
					






C12N 15/52
					






A01H 5/00
					






A01H 5/04
					






A01H 6/46
					






View less classifications","C12N 15/8218
					






C12N 15/8205
					






C12N 15/8261
					






C12N 15/8243
					






C12N 9/93
					






C12Y 603/05002
					








C12N 15/8218
					






C12N 15/8205
					






C12N 15/8261
					






C12N 15/8243
					






C12N 9/93
					






C12Y 603/05002
					






View less classifications",Luo Le骆乐Xu Guohua徐国华Zhang Shen张珅Qi Hongyuan戚洪源Zhou Yang周扬Qu Hongye瞿红叶,南京天华专利代理有限责任公司 32218南京天华专利代理有限责任公司 32218,(EN) Genetic engineering application of paddy rice aminotransferase gene OsGAT2(ZH) 一种水稻谷氨酰胺氨基转移酶基因OsGAT2的基因工程应用,"(EN) The invention discloses a genetic engineering application of a paddy rice amino amide aminotransferase gene OsGAT2 (Oryza sativa L. amino amide aminotransferase 2). The invention discloses application of the paddy rice amino amide aminotransferase gene OsGAT2 to improvement of paddy rice yield and nitrogen utilization efficiency. The paddy rice amino amide aminotransferase gene OsGAT2 disclosed by the invention is expressed at the joint of paddy rice rhizomes. With Nipponbare rice as the background, after the gene is knocked out through a gene engineering CRISPR-Cas9 technology, the plant height is remarkably increased, and the nitrogen utilization efficiency is improved. In low nitrogen fertilizer application land, the tiller number and the yield of a single plant of the mutant are remarkably increased. The method is of great significance in increasing rice yield and improving nitrogen physiological utilization efficiency.(ZH) 本发明公开了一种水稻谷氨酰胺氨基转移酶基因OsGAT2的基因工程应用。水稻谷氨酰胺氨基转移酶基因OsGAT2在提高水稻产量与氮素利用效率的应用。本发明所述的水稻谷氨酰胺氨基转移酶基因OsGAT2，在水稻根茎结合处表达。以日本晴水稻为背景，通过基因工程CRISPR‑Cas9技术对该基因进行敲除后，株高显著增高，氮素利用效率提高。在低氮肥施用土地中，突变体分蘖数和单株产量显著增加。对水稻增产和提高氮素生理利用效率具有重要意义。",,,,,,,,,,,,,,,,,,32.033399,118.842587,,,,Nan Jing Shi,Jiang Su Sheng,China,Rice
