Application Id,Application Number,Office,Application Date_page,Grant Number,Grant Date,Applicants,Title_page,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Application Date_list,Country,latitude,longitude,applicant_city_name,applicant_state_name,applicant_country_name,crop,Days Between Application and Grant,Granted,Application Year,Grant Year,Has Related Patent Documents,purpose
MX283331777,2019007546,Mexico,2019-06-21,,,Monsanto Technology Llc,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS.(ES) MODIFICACIÓN GENÉTICA DE CULTIVOS A BASE DE EDICIÓN DEL GENÓMICA Y PRODUCCIÓN DE PLANTAS BRAQUÍTICAS.,"62/438,370 22.12.2016 US","CA3047163

CN110213961

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2022014145",,,21.06.2019,Mexico,38.66369922,-90.57639294,,,,Corn/Maize,,False,2019.0,,True,Yield Improvement
CN251679698,201780084278,China,2017-12-21,,,Monsanto Technology Llc,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS(ZH) 基于基因组编辑的作物工程化和生产矮秆植物,"62/438,370 22.12.2016 US","CA3047163

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",,,,,38.66369922,-90.57639294,Los Angeles,California,United States,Corn/Maize,,False,2017.0,,True,Yield Improvement
CN290161211,201911081825,China,2019-11-07,110846323.0,2021-06-11,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) Wheat TaARF12 gene and application thereof(ZH) 小麦TaARF12基因及其应用,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Wheat,582.0,True,2019.0,2021.0,False,Yield Improvement
US294407009,16472140,United States of America,2017-12-21,12241074.0,2025-03-04,Monsanto Technology Llc,(EN) Genome editing-based crop engineering and production of brachytic plants,,"CA3047163

CN110213961

EP3557980

BR112019012819

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",,,21.12.2017,United States,38.66369922,-90.57639294,,,,Corn/Maize,2630.0,True,2017.0,2025.0,True,Yield Improvement
MX415081199,2022014145,Mexico,2019-06-21,,,Monsanto Technology Llc,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS.(ES) MODIFICACION GENETICA DE CULTIVOS A BASE DE EDICION GENOMICA Y PRODUCCION DE PLANTAS BRAQUITICAS.,"62/438,370 22.12.2016 US","CA3047163

CN110213961

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546",,,21.06.2019,Mexico,38.66369922,-90.57639294,,,,Corn/Maize,,False,2019.0,,True,Yield Improvement
CA345312038,3141931,Canada,2020-06-17,,,"Pioneer Hi-Bred International, Inc.",(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA(FR) COMPOSITIONS ET PROCEDES POUR AMELIORER LA TOLERANCE A L'ECLATEMENT DES CAPSULES DANS LE CANOLA,"62/863,551 19.06.2019 US","WO/2020/257251

WO/2020/257273

AU2020295995

AU2020295398

CA3142950

EP3986118

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,17.06.2020,Canada,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Canola,,False,2020.0,,True,Yield Improvement
WO2020257251,PCT/US2020/038087,,,,,"Pioneer Hi-Bred International, Inc.",(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA(FR) COMPOSITIONS ET PROCÉDÉS POUR AMÉLIORER LA TOLÉRANCE À L'ÉCLATEMENT DES CAPSULES DANS LE CANOLA,"62/863,55119.06.2019US","WO/2020/257273

AU2020295995

AU2020295398

CA3141931

CA3142950

EP3986118

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2020/038087,17.06.2020,17.06.2020,World Intellectual Property Organization,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Canola,,False,,,True,Yield Improvement
EP358609092,20825832,European Patent Office,2020-06-17,,,Pioneer Hi Bred Int,(DE) ZUSAMMENSETZUNGEN UND VERFAHREN ZUR VERBESSERUNG DER HÜSELBRUCHTOLERANZ BEI RAPS(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA(FR) COMPOSITIONS ET PROCÉDÉS POUR AMÉLIORER LA TOLÉRANCE À L'ÉCLATEMENT DES CAPSULES DANS LE CANOLA,201962863551 19.06.2019 US,"WO/2020/257251

WO/2020/257273

AU2020295995

AU2020295398

CA3141931

CA3142950

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,17.06.2020,European Patent Office,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Canola,,False,2020.0,,True,Yield Improvement
EP311124141,19701052,European Patent Office,2019-01-11,,,Kws Saat Se & Co Kgaa,(DE) OPTIMIERTE CRISPR/CPF1-PFLANZENSYSTEME(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS(FR) SYSTÈMES CRISPR/CPF1 OPTIMISÉS DE PLANTES,201862616136 11.01.2018 US,"AR113728

WO/2019/138052

CN111836825

BR112020014017

US20210163968

CA3088052

US20240409949",,,11.01.2019,European Patent Office,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2019.0,,True,Gene Editing Systems Development
CN312690861,201980026492,China,2019-04-16,,,Pioneer Hi-Bred International Inc.,(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(ZH) 通过修饰内源性MADS盒转录因子改善玉蜀黍中的农艺特征,62/659579 18.04.2018 US62/741529 04.10.2018 US62/814373 06.03.2019 US,"WO/2019/204256

BR112020021364

EP3780946

US20210155949

CA3095045

IN202017049501",,,,,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Corn/Maize,,False,2019.0,,True,Yield Improvement
WO2019204256,PCT/US2019/027602,,,,,"Pioneer Hi-Bred International, Inc.",(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(FR) AMÉLIORATION DE CARACTÉRISTIQUES AGRONOMIQUES DANS LE MAÏS PAR MODIFICATION DE FACTEURS DE TRANSCRIPTION DE MADS BOX ENDOGÈNES,"62/659,57918.04.2018US62/741,52904.10.2018US62/814,37306.03.2019US","CN111988989

BR112020021364

EP3780946

US20210155949

CA3095045

IN202017049501",PCT/US2019/027602,16.04.2019,16.04.2019,World Intellectual Property Organization,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Corn/Maize,,False,,,True,Yield Improvement
EP318509452,19789170,European Patent Office,2019-04-16,,,Pioneer Hi Bred Int,(DE) VERBESSERUNG DER AGRONOMISCHEN EIGENSCHAFTEN BEI MAIS DURCH MODIFIKATION ENDOGENER MADS-BOX-TRANSKRIPTIONSFAKTOREN(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(FR) AMÉLIORATION DE CARACTÉRISTIQUES AGRONOMIQUES DANS LE MAÏS PAR MODIFICATION DE FACTEURS DE TRANSCRIPTION DE MADS BOX ENDOGÈNES,201862659579 18.04.2018 US201862741529 04.10.2018 US201962814373 06.03.2019 US,"WO/2019/204256

CN111988989

BR112020021364

US20210155949

CA3095045

IN202017049501",,,16.04.2019,European Patent Office,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Corn/Maize,,False,2019.0,,True,Yield Improvement
CA310737196,3095045,Canada,,,,"Pioneer Hi-Bred International, Inc.",(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(FR) AMELIORATION DE CARACTERISTIQUES AGRONOMIQUES DANS LE MAIS PAR MODIFICATION DE FACTEURS DE TRANSCRIPTION DE MADS BOX ENDOGENES,"62/659,579 18.04.2018 US62/741,529 04.10.2018 US62/814,373 06.03.2019 US","WO/2019/204256

CN111988989

BR112020021364

EP3780946

US20210155949

IN202017049501",,,,Canada,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Corn/Maize,,False,,,True,Yield Improvement
CN310801653,201980018394,China,2019-01-11,,,Kws Saat Se,(EN) Optimized plant CRISPR/CPF1 systems(ZH) 优化的植物CRISPR/CPF1系统,"62/616,136 11.01.2018 US","AR113728

WO/2019/138052

EP3737691

BR112020014017

US20210163968

CA3088052

US20240409949",,,,,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2019.0,,True,Gene Editing Systems Development
CA300730838,3088052,Canada,,,,Kws Saat Se & Co. Kgaa,(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS(FR) SYSTEMES CRISPR/CPF1 OPTIMISES DE PLANTES,"62/616,136 11.01.2018 US","AR113728

WO/2019/138052

CN111836825

EP3737691

BR112020014017

US20210163968

US20240409949",,,,Canada,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,,,True,Gene Editing Systems Development
WO2019138052,PCT/EP2019/050655,,,,,Kws Saat Se & Co. Kgaa,(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS(FR) SYSTÈMES CRISPR/CPF1 OPTIMISÉS DE PLANTES,"62/616,13611.01.2018US","AR113728

CN111836825

EP3737691

BR112020014017

US20210163968

CA3088052

US20240409949",PCT/EP2019/050655,11.01.2019,11.01.2019,World Intellectual Property Organization,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,,,True,Gene Editing Systems Development
CN438262435,202410589544.X,China,2024-05-13,,,Hangzhou International Science And Technology Innovation Center Of Zhejiang University,(EN) Application of rape phosphate transporter gene mutant in arsenic stress resistance(ZH) 一种油菜磷酸盐转运子基因突变体在耐砷胁迫中的应用,,,,,13.05.2024,China,30.2049443,120.2573322,Hang Zhou Shi,Zhe Jiang Sheng,China,Canola,,False,2024.0,,False,Other Genetic Improvement for Crop Traits
US375116822,17619583,United States of America,2020-06-17,,,"Pioneer Hi-Bred International, Inc.",(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA,,"WO/2020/257251

WO/2020/257273

AU2020295995

AU2020295398

CA3141931

CA3142950

EP3986118

EP3986120

US20220298519

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,17.06.2020,United States,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Canola,,False,2020.0,,True,Yield Improvement
AU340320468,2020295995,Australia,2020-06-17,,,"Pioneer Hi-Bred International, Inc.",(EN) Compositions and methods for improving pod shatter tolerance in canola,"62/863,551 19.06.2019 US","WO/2020/257251

WO/2020/257273

AU2020295398

CA3141931

CA3142950

EP3986118

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,17.06.2020,Australia,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Canola,,False,2020.0,,True,Other Genetic Improvement for Crop Traits
IN318014159,202017049501,India,2020-11-12,,,"Pioneer Hi-Bred International, Inc.",(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS,62/659579 18.04.2018 US62/741529 04.10.2018 US62/814373 06.03.2019 US,"WO/2019/204256

CN111988989

BR112020021364

EP3780946

US20210155949

CA3095045",,,12.11.2020,India,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Corn/Maize,,False,2020.0,,True,Yield Improvement
US325111240,17047946,United States of America,2019-04-16,,,"Pioneer Hi-Bred International, Inc.",(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS,,"WO/2019/204256

CN111988989

BR112020021364

EP3780946

CA3095045

IN202017049501",,,16.04.2019,United States,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Corn/Maize,,False,2019.0,,True,Yield Improvement
CN203439502,102017000098892,China,2017-02-23,107043779.0,2020-05-12,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) Application of CRISPR/nCas9 mediated site-directed base substitution in plant(ZH) 一种CRISPR/nCas9介导的定点碱基替换在植物中的应用,2016110911077 01.12.2016 CN,,,,23.02.2017,China,39.9628214,116.3269465,,Bei Jing Shi,China,Rice,1174.0,True,2017.0,2020.0,False,Gene Editing Systems Development
US444652451,18739142,United States of America,2024-06-10,,,"Board Of Regents Of The Nevada System Of Higher Education, On Behalf Of The University Of Nevada",(EN) POTATO VARIETY NAMED 'UNR-01',,,,,10.06.2024,United States,39.5512226,-119.8123014,Reno,Nevada,United States,Potatoes,,False,2024.0,,False,Other Genetic Improvement for Crop Traits
WO2019027871,PCT/US2018/044312,,,,,Ingateygen Llc,(EN) PEANUT WITH REDUCED ALLERGEN LEVELS(FR) CACAHUÈTE À NIVEAUX D'ALLERGÈNES RÉDUITS,"62/539,30831.07.2017US",US20210010014,PCT/US2018/044312,30.07.2018,30.07.2018,World Intellectual Property Organization,40.9806198,-74.2545021,Wayne,New Jersey,United States,Peanuts,,False,,,True,Other Genetic Improvement for Crop Traits
US325709511,16961303,United States of America,2019-01-11,12098374.0,2024-09-24,Kws Saat Se & Co. Kgaa,(EN) Optimized plant CRISPR/CPF1 systems,,"AR113728

WO/2019/138052

CN111836825

EP3737691

BR112020014017

CA3088052

US20240409949",,,11.01.2019,United States,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,2083.0,True,2019.0,2024.0,True,Gene Editing Systems Development
US444088085,18813194,United States of America,2024-08-23,,,Kws Saat Se & Co. Kgaa,(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS,,"AR113728

WO/2019/138052

CN111836825

EP3737691

BR112020014017

US20210163968

CA3088052",,,23.08.2024,United States,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2024.0,,True,Gene Editing Systems Development
CN220636315,102017000396445,China,2017-05-31,107164402.0,2020-10-16,"Weiming Xingwang System Crop Design Frontier Laboratory (Beijing) Co., Ltd.未名兴旺系统作物设计前沿实验室（北京）",(EN) CRISPR-Cas9 system-based gene editing vector and application thereof(ZH) 一种基于CRISPR-Cas9系统的基因编辑载体及其应用,,,,,31.05.2017,China,39.7965923,116.5179335,,Bei Jing Shi,China,Wheat,1234.0,True,2017.0,2020.0,False,Gene Editing Systems Development
CN350472567,202111283434,China,2021-11-01,113999863.0,2024-01-05,Zhejiang University,(EN) Method for improving water utilization efficiency of tomato crops(ZH) 一种提高番茄作物水分利用效率的方法,,,,,,,30.3086844,120.0864995,Hang Zhou Shi,Zhe Jiang Sheng,China,Tomatoes,795.0,True,2021.0,2024.0,False,Drought Adaptation
